"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.236486,-12.647705
1,2.000000,-0.319288,-14.789956
2,3.000000,-0.732504,-14.691144
3,4.000000,-0.960680,-14.241137
4,5.000000,-1.088944,-13.828349
5,6.000000,-1.164690,-13.508911
6,7.000000,-1.205846,-13.291849
7,8.000000,-1.232448,-13.153742
8,9.000000,-1.240346,-13.073630
9,10.000000,-1.239239,-13.060848
10,15.000000,-1.169359,-14.117416
11,20.000000,-1.022301,-16.233426
12,25.000000,-0.923505,-19.415425
13,30.000000,-0.887469,-23.289281
14,35.000000,-0.971313,-27.261379
15,40.000000,-1.097345,-32.426064
16,45.000000,-1.589344,-37.747484
17,50.000000,-2.624706,-40.604250
18,55.000000,-2.825026,-35.897343
19,60.000000,-2.109666,-38.511256
20,65.000000,-2.885765,-49.642264
21,70.000000,-3.474937,-45.845196
22,75.000000,-3.307127,-46.675151
23,80.000000,-4.181851,-51.211494
24,85.000000,-3.288668,-48.970860
25,90.000000,-4.023297,-59.471049
26,95.000000,-4.798036,-61.765941
27,100.000000,-5.684339,-64.190593
28,105.000000,-6.966365,-64.622919
29,110.000000,-8.729637,-57.476813
30,115.000000,-8.300425,-37.236243
31,120.000000,-5.189732,-31.124160
32,125.000000,-3.303647,-45.416079
33,130.000000,-3.988828,-59.717656
34,135.000000,-4.363724,-63.747112
35,140.000000,-5.614842,-69.063606
36,145.000000,-5.574708,-69.800894
37,150.000000,-6.248987,-72.233636
38,155.000000,-6.391134,-74.133409
39,160.000000,-7.048327,-74.350733
40,165.000000,-7.434084,-75.005606
41,170.000000,-7.203467,-77.333755
42,175.000000,-7.631313,-80.406907
43,180.000000,-8.438890,-80.214718
44,185.000000,-8.307817,-81.717884
45,190.000000,-8.920356,-83.523199
46,195.000000,-9.063955,-84.123987
47,200.000000,-9.502808,-84.599849
48,205.000000,-10.180948,-86.392920
49,210.000000,-10.339196,-86.485142
50,215.000000,-10.726302,-86.221001
51,220.000000,-10.966981,-87.234818
52,225.000000,-11.690813,-87.628218
53,230.000000,-12.130711,-87.456679
54,235.000000,-12.558899,-87.158068
55,240.000000,-13.153816,-86.390811
