"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-5.075829,-39.739913
1,2.000000,-8.347000,-41.111188
2,3.000000,-10.283268,-23.395967
3,4.000000,-10.433531,-13.630399
4,5.000000,-10.485175,-9.398735
5,6.000000,-10.501255,-5.304577
6,7.000000,-10.486235,-3.444762
7,8.000000,-10.396803,-1.439807
8,9.000000,-10.270411,0.099861
9,10.000000,-10.189755,1.558860
10,15.000000,-9.427785,7.580038
11,20.000000,-8.495282,10.677508
12,25.000000,-7.559376,11.884102
13,30.000000,-6.606912,11.785324
14,35.000000,-5.790254,9.460829
15,40.000000,-4.984220,6.540571
16,45.000000,-4.373051,3.613088
17,50.000000,-4.038647,-2.843099
18,55.000000,-3.863212,-4.495519
19,60.000000,-3.110018,-6.495596
20,65.000000,-2.649596,-13.599246
21,70.000000,-2.871368,-18.578878
22,75.000000,-2.670012,-21.980084
23,80.000000,-2.579795,-27.774607
24,85.000000,-2.649681,-30.099252
25,90.000000,-2.703912,-35.419715
26,95.000000,-2.868306,-40.491290
27,100.000000,-3.453372,-44.519673
28,105.000000,-3.801109,-48.052706
29,110.000000,-4.781521,-50.698247
30,115.000000,-5.243843,-50.965091
31,120.000000,-5.691816,-48.601737
32,125.000000,-5.428240,-44.776424
33,130.000000,-4.691059,-45.143521
34,135.000000,-4.256688,-47.862127
35,140.000000,-4.176422,-55.383541
36,145.000000,-4.642397,-62.264187
37,150.000000,-5.003502,-64.777284
38,155.000000,-5.181248,-66.731093
39,160.000000,-5.557618,-70.000140
40,165.000000,-6.051150,-69.864869
41,170.000000,-5.976487,-72.027677
42,175.000000,-6.171223,-74.831420
43,180.000000,-6.957578,-75.601051
44,185.000000,-6.833713,-77.276310
45,190.000000,-7.219824,-79.654731
46,195.000000,-7.288988,-80.409829
47,200.000000,-7.716604,-81.992314
48,205.000000,-8.103082,-82.644508
49,210.000000,-8.264158,-84.055308
50,215.000000,-8.324830,-84.503486
51,220.000000,-8.642013,-85.942755
52,225.000000,-8.944562,-86.481275
53,230.000000,-9.286712,-88.424938
54,235.000000,-9.456452,-87.929878
55,240.000000,-9.466307,-88.193526
56,245.000000,-9.832382,-89.671316
57,250.000000,-10.137286,-90.611115
58,255.000000,-10.347672,-89.822327
59,260.000000,-10.355376,-88.987415
60,265.000000,-10.996203,-88.011458
61,270.000000,-11.117132,-87.887360
62,275.000000,-10.385096,-89.390590
63,280.000000,-10.862096,-90.270410
64,285.000000,-11.622096,-91.109414
65,290.000000,-11.384906,-89.098349
66,295.000000,-11.178926,-92.656704
67,300.000000,-11.666196,-94.285326
68,305.000000,-12.349897,-92.198632
69,310.000000,-12.722597,-88.742842
70,315.000000,-12.414099,-88.393508
71,320.000000,-12.124829,-87.416976
72,325.000000,-12.506238,-80.598263
73,330.000000,-12.147818,-82.313910
74,335.000000,-11.337435,-79.955330
75,340.000000,-10.804784,-82.206817
76,345.000000,-10.628128,-82.314443
77,350.000000,-11.009877,-85.510529
78,355.000000,-10.443839,-85.438464
79,360.000000,-10.676924,-88.934789
80,365.000000,-10.135407,-89.928305
81,370.000000,-9.933669,-88.974163
82,375.000000,-10.179245,-94.787426
83,380.000000,-10.751137,-96.510935
84,385.000000,-10.425806,-98.287633
85,390.000000,-10.626790,-97.313730
86,395.000000,-10.336490,-101.622430
87,400.000000,-10.797597,-100.984445
88,405.000000,-11.007952,-106.879679
89,410.000000,-11.054959,-107.301504
90,415.000000,-11.390893,-105.813410
91,420.000000,-10.994262,-105.847614
92,425.000000,-11.657053,-111.256617
93,430.000000,-11.548746,-111.068469
94,435.000000,-11.383725,-110.210990
95,440.000000,-12.225757,-110.712425
96,445.000000,-11.682015,-113.956962
97,450.000000,-11.373320,-114.390055
98,455.000000,-12.158761,-115.835395
99,460.000000,-11.712832,-117.738387
100,465.000000,-12.131673,-115.598326
101,470.000000,-12.107185,-121.081434
102,475.000000,-11.644977,-114.235295
103,480.000000,-12.862751,-121.852893
104,485.000000,-12.501690,-125.353734
105,490.000000,-11.986325,-120.206103
106,495.000000,-12.264644,-120.958798
107,500.000000,-12.088640,-120.891584
108,505.000000,-12.282893,-120.972267
109,510.000000,-12.160633,-128.089094
110,515.000000,-12.533580,-124.181568
111,520.000000,-13.017971,-131.217847
112,525.000000,-13.346570,-123.092500
113,530.000000,-13.180538,-130.734261
114,535.000000,-12.820300,-127.027929
115,540.000000,-13.629477,-128.923960
116,545.000000,-13.019371,-132.793843
117,550.000000,-13.645076,-129.884456
118,555.000000,-13.264692,-136.424185
119,560.000000,-13.105023,-128.997466
120,565.000000,-13.731140,-133.851942
121,570.000000,-13.685649,-136.284599
122,575.000000,-13.067530,-134.988080
123,580.000000,-13.682455,-137.251838
124,585.000000,-14.082325,-138.273564
125,590.000000,-13.376245,-136.473049
126,595.000000,-13.674100,-140.031000
127,600.000000,-14.313006,-141.962283
128,605.000000,-14.140396,-142.092263
129,610.000000,-14.512218,-144.571789
130,615.000000,-14.059991,-137.182374
131,620.000000,-13.921954,-143.882360
132,625.000000,-14.344083,-142.309633
133,630.000000,-14.308205,-144.326858
134,635.000000,-14.612851,-142.326465
135,640.000000,-14.344835,-144.962886
136,645.000000,-14.402670,-143.847766
137,650.000000,-14.882420,-150.581332
138,655.000000,-14.877186,-149.581412
139,660.000000,-14.992745,-144.708623
140,665.000000,-14.957252,-151.434033
141,670.000000,-15.248130,-146.913805
142,675.000000,-15.031270,-151.771038
143,680.000000,-15.644151,-149.103069
144,685.000000,-15.046790,-152.828512
145,690.000000,-15.280300,-148.460251
146,695.000000,-15.656636,-154.450734
147,700.000000,-15.552358,-154.042764
148,705.000000,-15.697245,-155.633946
149,710.000000,-16.704090,-155.842809
150,715.000000,-16.405295,-151.579991
151,720.000000,-16.482482,-151.317822
152,725.000000,-17.102270,-155.363287
153,730.000000,-17.107334,-148.818734
154,735.000000,-16.583466,-152.572138
155,740.000000,-16.829698,-148.303428
156,745.000000,-16.607851,-146.795511
157,750.000000,-15.810718,-147.901609
