"Frequency Response - Position"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-1.291007,-31.667872
1,2.000000,-3.951678,-53.924976
2,3.000000,-6.449657,-67.231488
3,4.000000,-8.559838,-75.029473
4,5.000000,-10.315416,-80.135376
5,6.000000,-11.779313,-83.851467
6,7.000000,-13.075817,-86.694195
7,8.000000,-14.145723,-89.103059
8,9.000000,-15.047712,-91.280042
9,10.000000,-15.961546,-93.222552
10,15.000000,-19.073012,-103.334932
11,20.000000,-21.260145,-109.593785
12,25.000000,-22.942043,-116.558252
13,30.000000,-24.097404,-123.278228
14,35.000000,-25.016503,-130.090107
15,40.000000,-25.324731,-138.414459
16,45.000000,-25.515072,-150.843102
17,50.000000,-26.072017,-169.559397
18,55.000000,-30.906492,-185.991687
19,60.000000,-32.656073,-163.357333
20,65.000000,-29.146382,-174.021419
21,70.000000,-30.899198,-190.684924
22,75.000000,-32.656276,-196.626880
23,80.000000,-30.713747,-205.453272
24,85.000000,-35.625683,-225.993196
25,90.000000,-35.062321,-202.873637
26,95.000000,-32.070543,-207.598986
27,100.000000,-30.860264,-218.599454
28,105.000000,-29.292140,-228.017628
29,110.000000,-26.894465,-246.979016
30,115.000000,-25.198985,-273.287989
31,120.000000,-24.409711,-304.739140
32,125.000000,-26.621132,-344.980147
33,130.000000,-32.286164,-369.410904
34,135.000000,-33.215635,-378.308648
35,140.000000,-39.936070,-399.278294
36,145.000000,-40.324252,-384.007687
37,150.000000,-43.316575,-386.238373
38,155.000000,-43.366714,-397.041049
39,160.000000,-44.216953,-380.950462
40,165.000000,-43.847826,-409.622015
41,170.000000,-44.092427,-431.631255
42,175.000000,-53.283514,-432.062543
43,180.000000,-47.577707,-387.577178
44,185.000000,-45.948888,-442.835430
45,190.000000,-53.640356,-421.709910
46,195.000000,-48.604190,-458.005203
47,200.000000,-52.116827,-414.651341
48,205.000000,-60.254332,-515.877553
49,210.000000,-50.794204,-477.061809
50,215.000000,-56.545470,-451.721776
51,220.000000,-54.791704,-494.916706
52,225.000000,-56.457993,-527.521777
53,230.000000,-60.260436,-532.431218
54,235.000000,-61.083230,-416.068293
55,240.000000,-60.101020,-438.053853
56,245.000000,-51.230793,-429.295283
57,250.000000,-53.424637,-487.446452
58,255.000000,-72.361036,-335.178397
59,260.000000,-66.999744,-362.315646
60,265.000000,-68.158854,-188.204367
61,270.000000,-77.390523,-165.792948
62,275.000000,-52.618897,-71.021187
63,280.000000,-69.839065,-0.063446
64,285.000000,-62.735252,-162.073055
65,290.000000,-51.514333,-100.441595
66,295.000000,-49.673896,-141.185108
67,300.000000,-53.136513,-147.784496
68,305.000000,-50.998969,-206.510393
69,310.000000,-53.810973,-144.835734
70,315.000000,-55.776898,-178.643953
71,320.000000,-47.593740,-204.654819
72,325.000000,-50.629638,-213.328509
73,330.000000,-49.113227,-253.251092
74,335.000000,-49.595395,-285.586352
75,340.000000,-72.678946,-391.016346
76,345.000000,-53.164210,-334.303255
77,350.000000,-63.184709,-333.846869
78,355.000000,-51.165745,-267.729838
79,360.000000,-50.506893,-264.801915
80,365.000000,-52.289499,-338.857799
81,370.000000,-54.438463,-183.123548
82,375.000000,-55.985571,-308.870513
83,380.000000,-67.233636,-272.203970
84,385.000000,-61.655908,-386.019783
85,390.000000,-55.311956,-362.113983
86,395.000000,-50.149864,-320.770067
87,400.000000,-59.997988,-373.581227
88,405.000000,-57.691589,-403.129841
89,410.000000,-57.880392,-264.248017
90,415.000000,-56.333836,-383.920889
91,420.000000,-57.779595,-343.531029
92,430.000000,-52.337075,-406.818738
93,440.000000,-49.420673,-405.148647
94,450.000000,-65.257251,-356.827666
95,455.000000,-50.997125,-429.030756
96,460.000000,-57.413187,-390.390892
97,465.000000,-59.883507,-459.136876
98,470.000000,-64.241712,-447.789635
99,475.000000,-41.221956,-296.216825
100,480.000000,-57.965096,-164.296415
101,490.000000,-58.849312,-170.490357
102,495.000000,-56.206081,-175.214667
103,500.000000,-363.630329,-90.000000
104,505.000000,-76.149549,-269.959890
105,510.000000,-72.398293,-269.599918
106,515.000000,-70.827790,-269.547694
107,520.000000,-68.121249,-270.995972
108,525.000000,-59.069443,-278.621819
109,530.000000,-52.891587,-151.437382
110,535.000000,-59.579007,-198.879549
111,540.000000,-49.037574,-22.363024
112,545.000000,-60.198073,95.000813
113,550.000000,-52.320368,-28.103116
114,555.000000,-61.118768,111.976725
115,560.000000,-45.862196,88.314202
116,565.000000,-60.066512,-13.212795
117,570.000000,-57.514675,45.125772
118,575.000000,-49.293302,71.348298
119,580.000000,-60.248222,-83.459156
120,585.000000,-57.971777,-262.928547
121,590.000000,-56.688724,-422.451308
122,595.000000,-74.568717,-370.398723
123,600.000000,-52.709898,-325.981742
124,605.000000,-74.309487,-186.051820
125,610.000000,-68.247013,-208.040895
126,615.000000,-51.992519,-298.588885
127,620.000000,-60.341128,-119.761055
128,625.000000,-56.145815,54.097229
129,630.000000,-49.700236,-42.261420
130,635.000000,-50.231680,112.523471
131,640.000000,-57.259975,114.066242
132,645.000000,-55.174467,77.363987
133,650.000000,-43.780561,231.302964
134,655.000000,-72.077689,229.466751
135,660.000000,-49.797453,320.214788
136,665.000000,-53.111075,243.043698
137,670.000000,-50.945711,331.545530
138,675.000000,-74.142736,181.915091
139,680.000000,-49.397292,305.295642
140,685.000000,-53.276226,376.044935
141,690.000000,-45.834485,212.274222
142,695.000000,-51.139031,204.548359
143,700.000000,-49.633879,207.107603
144,705.000000,-46.325066,162.740163
145,710.000000,-48.172297,153.711892
146,715.000000,-51.987709,113.331223
147,725.000000,-45.364124,51.929597
148,730.000000,-49.302585,111.949707
149,735.000000,-49.079634,47.765713
150,740.000000,-66.128878,-118.500335
151,745.000000,-51.655651,28.591956
152,750.000000,-51.326599,34.941057
153,755.000000,-48.348326,-9.473626
154,760.000000,-50.425344,115.053889
155,765.000000,-47.511789,-26.670900
156,775.000000,-50.958238,92.443976
157,780.000000,-55.656883,240.220501
158,785.000000,-52.835963,190.557498
159,790.000000,-47.737615,70.964396
160,795.000000,-53.001161,82.831041
161,800.000000,-43.545636,-42.840859
162,805.000000,-47.171777,-187.380020
163,810.000000,-45.588690,-236.921209
164,815.000000,-38.859896,-291.054549
165,820.000000,-46.987745,-431.158207
166,825.000000,-44.695688,-281.474203
167,830.000000,-44.068728,-324.647624
168,835.000000,-50.264646,-393.421832
169,840.000000,-37.116559,-316.356006
170,845.000000,-52.487788,-362.509891
171,850.000000,-43.365972,-308.796321
172,855.000000,-40.064356,-363.831409
173,860.000000,-43.359086,-338.187360
174,865.000000,-34.495287,-362.017254
175,870.000000,-34.108769,-315.812359
176,875.000000,-35.782964,-379.564555
177,880.000000,-35.259354,-351.208324
178,885.000000,-36.664021,-419.058594
179,890.000000,-32.699163,-379.666846
180,895.000000,-25.844643,-414.289953
181,900.000000,-27.081153,-472.839058
182,905.000000,-38.466892,-480.404095
183,910.000000,-24.068939,-409.941862
184,915.000000,-23.190660,-516.431992
185,920.000000,-29.434199,-534.433609
186,925.000000,-29.154233,-546.094965
187,930.000000,-25.520811,-544.554545
188,935.000000,-36.525321,-561.506531
189,940.000000,-48.632444,-570.062508
190,945.000000,-37.774099,-527.236433
191,950.000000,-34.518754,-544.063394
192,955.000000,-22.419948,-537.162609
193,960.000000,-26.983438,-541.942512
194,965.000000,-34.894147,-546.608117
195,970.000000,-25.882913,-704.803553
196,975.000000,-13.577993,-543.498722
197,980.000000,-21.191794,-539.793998
198,985.000000,-28.428032,-540.760261
199,990.000000,-34.718640,-541.043072
200,995.000000,-37.264396,-718.714260
201,1000.000000,-25.625719,-720.000000
