"Frequency Response"
""
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.049970,0.134804,1.000000,44.155493,-202.175571
1,2.000000,0.028329,0.139508,2.000000,47.822078,-216.673987
2,3.000000,0.118789,0.125629,3.000000,37.229900,-189.045881
3,4.000000,0.174209,0.019783,4.000000,34.040524,-180.976403
4,5.000000,0.218983,-0.412778,5.000000,31.736472,-164.257811
5,6.000000,0.252798,-0.537682,6.000000,30.417370,-162.396378
6,7.000000,0.280362,-0.940715,7.000000,28.962449,-153.507031
7,8.000000,0.348566,-1.385088,8.000000,26.759913,-149.623191
8,9.000000,0.371861,-1.633044,9.000000,25.960921,-147.157107
9,10.000000,0.430533,-2.153697,10.000000,24.337975,-143.893103
10,15.000000,0.633644,-4.564651,15.000000,19.646909,-134.734419
11,20.000000,0.786912,-7.593418,20.000000,16.285361,-128.095597
12,25.000000,0.892748,-10.759768,25.000000,13.843778,-123.980060
13,30.000000,0.994511,-14.524167,30.000000,11.630089,-121.430913
14,35.000000,1.020319,-18.378367,35.000000,9.872155,-119.122556
15,40.000000,0.799178,-22.502276,40.000000,8.338270,-114.263352
16,45.000000,0.238612,-26.048161,45.000000,7.025044,-106.422196
17,50.000000,-0.621361,-24.598886,50.000000,6.979475,-92.986601
18,55.000000,-0.142851,-21.766739,55.000000,8.379225,-98.434429
19,60.000000,0.279856,-24.604456,60.000000,7.524189,-106.526762
20,65.000000,0.640413,-27.941189,65.000000,6.543856,-112.395700
21,70.000000,0.824728,-30.692020,70.000000,5.800747,-115.153474
22,75.000000,0.615969,-33.477533,75.000000,5.033918,-113.459990
23,80.000000,0.687752,-33.265556,80.000000,5.106434,-114.178052
24,85.000000,1.112490,-33.780024,85.000000,5.065351,-118.784082
25,90.000000,1.424858,-38.290567,90.000000,4.111237,-122.409535
26,95.000000,1.485851,-39.638057,95.000000,3.848458,-123.138622
27,100.000000,2.101165,-42.599500,100.000000,3.367175,-128.456660
28,105.000000,2.247782,-46.697350,105.000000,2.700043,-129.947135
29,110.000000,2.465117,-51.535601,110.000000,2.005137,-132.045904
30,115.000000,2.494876,-54.933892,115.000000,1.543833,-132.810703
31,120.000000,2.391411,-58.213940,120.000000,1.097867,-132.911452
32,125.000000,2.536426,-61.911157,125.000000,0.683188,-134.543965
33,130.000000,2.546954,-65.202189,130.000000,0.312145,-135.424081
34,135.000000,2.636608,-68.938474,135.000000,-0.061918,-136.844221
35,140.000000,2.889614,-73.132725,140.000000,-0.406047,-139.094268
36,145.000000,3.084339,-79.289118,145.000000,-0.902379,-141.617147
37,150.000000,2.919732,-83.437308,150.000000,-1.294358,-142.297478
38,155.000000,3.094738,-88.311509,155.000000,-1.610999,-144.446261
39,160.000000,2.626317,-95.448890,160.000000,-2.270073,-145.492239
40,165.000000,2.576769,-100.857887,165.000000,-2.630494,-147.367295
41,170.000000,2.384892,-110.194882,170.000000,-3.226535,-150.534675
42,175.000000,2.401242,-117.316874,175.000000,-3.562965,-153.440008
43,180.000000,1.411713,-131.878104,180.000000,-4.559565,-158.012560
44,185.000000,1.782490,-133.167392,185.000000,-4.436969,-159.119210
45,190.000000,-0.392588,-140.164572,190.000000,-5.683649,-159.613199
46,195.000000,0.615044,-137.887407,195.000000,-5.119081,-159.724302
47,200.000000,0.238236,-139.395620,200.000000,-5.345316,-159.988483
48,205.000000,0.008665,-144.775399,205.000000,-5.599272,-162.396772
49,210.000000,-2.588880,-166.326781,210.000000,-7.350525,-172.147300
50,215.000000,-0.854773,-143.712799,215.000000,-6.016647,-160.933385
