"Frequency Response"
"Axis-2: 1 - 1000Hz"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,-1.002538,-17.976215,1.000000,9.046774,-78.963500
1,2.000000,-2.523323,-17.126973,2.000000,6.340807,-54.795954
2,3.000000,-3.047170,-13.412318,3.000000,5.950580,-40.811644
3,4.000000,-3.413453,-10.925520,4.000000,5.444707,-31.703508
4,5.000000,-3.421864,-9.078588,5.000000,5.681825,-26.746928
5,6.000000,-3.460134,-7.328970,6.000000,5.786707,-21.709085
6,7.000000,-3.496735,-5.863367,7.000000,5.827912,-17.390415
7,8.000000,-3.467583,-4.431671,8.000000,6.026464,-13.327860
8,9.000000,-3.416094,-3.714897,9.000000,6.226788,-11.340333
9,10.000000,-3.366166,-2.668954,10.000000,6.434689,-8.274418
10,11.000000,-3.363200,-2.774175,11.000000,6.438898,-8.604041
11,12.000000,-3.357562,-2.145940,12.000000,6.482937,-6.676121
12,13.000000,-3.312994,-2.281170,13.000000,6.616293,-7.172028
13,14.000000,-3.231896,-4.514573,14.000000,6.732860,-14.353477
14,15.000000,-2.925476,0.095722,15.000000,7.948493,0.334743
15,16.000000,-2.929100,0.214001,16.000000,7.935406,0.747571
16,17.000000,-2.964238,0.345212,17.000000,7.812457,1.193849
17,18.000000,-2.944413,0.178132,18.000000,7.882195,0.619554
18,19.000000,-2.928379,0.303221,19.000000,7.937393,1.059427
19,20.000000,-2.423582,0.899639,20.000000,9.833542,3.691535
20,21.000000,-2.447825,0.977856,21.000000,9.732249,3.977464
21,22.000000,-2.410505,0.859320,22.000000,9.888434,3.542930
22,23.000000,-2.454215,1.158248,23.000000,9.700025,4.698626
23,24.000000,-2.444443,0.931896,24.000000,9.747434,3.795422
24,25.000000,-1.929146,0.279841,25.000000,12.084477,1.404865
25,26.000000,-1.967213,0.219409,26.000000,11.895858,1.082511
26,27.000000,-1.921941,0.256610,27.000000,12.121031,1.292579
27,28.000000,-1.926879,0.820233,28.000000,12.079981,4.117552
28,29.000000,-1.942105,0.552178,29.000000,12.013665,2.754408
29,30.000000,-1.455757,-1.086704,30.000000,14.721335,-7.014965
30,31.000000,-1.478089,-0.825399,31.000000,14.601812,-5.263261
31,32.000000,-1.499815,-0.948622,32.000000,14.455188,-5.964973
32,33.000000,-1.460875,-0.523907,33.000000,14.730565,-3.381212
33,34.000000,-1.485306,-1.105290,34.000000,14.531946,-7.004778
34,35.000000,-1.036373,-2.851339,35.000000,17.246990,-24.094298
35,36.000000,-1.087998,-2.768099,36.000000,16.892591,-22.504363
36,37.000000,-1.138501,-2.747791,37.000000,16.529347,-21.500597
37,38.000000,-1.058283,-2.837876,38.000000,17.086400,-23.570543
38,39.000000,-1.056060,-3.187323,39.000000,16.944759,-26.211946
39,40.000000,-0.613002,-4.704102,40.000000,19.004302,-51.697550
40,41.000000,-0.655516,-4.749915,41.000000,18.679917,-50.091860
41,42.000000,-0.688482,-5.278775,42.000000,17.962412,-51.967679
42,43.000000,-0.672721,-5.134044,43.000000,18.194508,-51.762068
43,44.000000,-0.628227,-5.040410,44.000000,18.557306,-53.124749
44,45.000000,-0.131281,-7.058613,45.000000,18.062955,-86.543852
45,46.000000,-0.191731,-7.098681,46.000000,17.912700,-83.460298
46,47.000000,-0.282861,-7.680935,47.000000,17.069856,-80.207395
47,48.000000,-0.254255,-7.299782,48.000000,17.551283,-80.728192
48,50.000000,0.063206,-10.667192,50.000000,14.638953,-97.565406
49,51.000000,0.071385,-9.123744,51.000000,15.992285,-97.510092
50,52.000000,0.062883,-10.568531,52.000000,14.719215,-97.525532
51,53.000000,-0.108224,-10.407684,53.000000,14.752761,-91.290713
52,54.000000,0.004341,-10.316166,54.000000,14.905959,-95.316686
53,56.000000,0.513084,-13.089472,56.000000,12.817119,-110.977583
54,57.000000,0.460613,-13.311706,57.000000,12.706046,-109.454471
55,58.000000,0.550658,-12.817727,58.000000,12.962747,-112.163117
56,60.000000,0.590672,-14.977267,60.000000,11.687801,-111.985878
57,61.000000,0.924679,-15.290367,61.000000,11.316772,-119.257255
58,63.000000,0.761080,-15.752217,63.000000,11.200595,-115.438614
59,64.000000,0.762196,-15.481455,64.000000,11.335490,-115.619137
60,66.000000,0.945252,-19.597536,66.000000,9.410341,-117.270052
61,67.000000,1.191742,-16.932189,67.000000,10.361109,-123.176650
62,69.000000,1.274751,-16.979364,69.000000,10.272783,-124.628064
63,70.000000,1.590121,-20.467324,70.000000,8.757538,-127.055184
64,72.000000,1.454071,-21.103659,72.000000,8.625745,-124.698805
65,74.000000,1.372790,-20.818934,74.000000,8.765887,-123.642118
66,75.000000,1.647769,-23.933020,75.000000,7.642083,-126.012845
67,77.000000,1.578416,-23.624673,77.000000,7.763013,-125.237868
68,79.000000,1.684606,-22.646914,79.000000,8.010576,-127.092936
69,81.000000,1.546597,-27.389520,81.000000,6.691075,-123.716290
70,83.000000,2.239705,-28.362381,83.000000,6.249355,-131.085043
71,85.000000,2.296588,-28.762128,85.000000,6.136768,-131.521565
72,87.000000,2.065179,-30.264029,87.000000,5.855702,-128.764148
73,89.000000,2.213647,-29.878223,89.000000,5.906820,-130.348147
74,91.000000,2.387334,-34.813003,91.000000,4.818959,-130.945101
75,93.000000,2.250216,-33.036105,93.000000,5.205153,-129.996416
76,95.000000,2.974656,-37.526258,95.000000,4.225862,-135.291175
77,97.000000,3.020977,-35.742353,97.000000,4.530464,-135.971828
78,100.000000,2.786531,-38.318196,100.000000,4.112598,-133.755689
79,102.000000,2.686500,-42.746332,102.000000,3.365754,-132.780231
80,104.000000,2.677929,-42.816689,104.000000,3.354217,-132.719146
81,107.000000,3.215220,-43.084841,107.000000,3.295899,-136.413024
82,109.000000,3.493187,-46.517517,109.000000,2.783176,-138.038373
83,112.000000,3.804700,-47.333152,112.000000,2.662188,-139.858443
84,114.000000,3.494588,-48.449524,114.000000,2.517420,-138.029913
85,117.000000,3.601304,-55.111113,117.000000,1.670555,-138.945743
86,120.000000,4.634961,-61.226657,120.000000,1.082625,-144.387190
87,123.000000,4.483731,-60.631466,123.000000,1.130616,-143.673637
88,125.000000,4.741797,-63.235848,125.000000,0.894550,-145.015379
89,128.000000,4.584578,-62.564875,128.000000,0.945313,-144.285796
90,131.000000,5.054911,-65.046082,131.000000,0.753314,-146.459007
91,134.000000,5.182912,-64.962145,134.000000,0.772124,-146.957673
92,138.000000,5.291545,-71.730418,138.000000,0.201062,-148.098470
93,141.000000,5.353562,-80.913433,141.000000,-0.495944,-149.765041
94,144.000000,5.221233,-81.186511,144.000000,-0.540512,-149.399913
95,147.000000,6.004837,-86.625805,147.000000,-0.762563,-152.741129
96,151.000000,5.722928,-91.152939,151.000000,-1.101043,-152.887689
97,154.000000,5.620636,-97.244066,154.000000,-1.480334,-154.023854
98,158.000000,5.490977,-101.241183,158.000000,-1.730756,-154.718145
99,162.000000,5.104272,-105.891657,162.000000,-2.076372,-155.116832
100,165.000000,5.390635,-118.012500,165.000000,-2.538271,-159.246047
101,169.000000,5.244862,-112.750685,169.000000,-2.359678,-157.403774
102,173.000000,4.826398,-122.389563,173.000000,-2.886402,-159.667155
103,177.000000,4.518384,-126.973055,177.000000,-3.156154,-160.719156
104,181.000000,4.202362,-133.075612,181.000000,-3.467395,-162.418157
105,186.000000,3.461549,-140.728949,186.000000,-3.962094,-164.378186
106,190.000000,3.030464,-145.721996,190.000000,-4.254624,-165.909572
107,194.000000,3.195740,-147.707438,194.000000,-4.231355,-166.868475
108,199.000000,2.433731,-153.134382,199.000000,-4.652563,-168.471194
109,204.000000,1.906213,-156.845240,204.000000,-4.943317,-169.705229
110,208.000000,1.232627,-161.820401,208.000000,-5.316923,-171.559523
111,213.000000,0.598196,-165.701398,213.000000,-5.658937,-173.098071
112,218.000000,0.078041,-169.131988,218.000000,-5.942545,-174.590479
113,223.000000,-0.537200,-173.163074,223.000000,-6.277898,-176.475734
114,229.000000,-1.118524,-176.528131,229.000000,-6.593883,-178.152414
115,234.000000,-1.683464,-179.776048,234.000000,-6.903037,-179.877207
116,239.000000,-2.262635,-182.725605,239.000000,-7.222970,-181.539340
117,245.000000,-3.277795,-187.945983,245.000000,-7.793036,-184.715012
118,251.000000,-3.915421,-190.474930,251.000000,-8.162544,-186.401428
119,257.000000,-4.352544,-192.243712,257.000000,-8.420035,-187.629788
120,263.000000,-4.821644,-195.792965,263.000000,-8.685144,-190.046225
121,269.000000,-5.347881,-196.923337,269.000000,-9.013270,-191.004150
122,275.000000,-6.228223,-200.790526,275.000000,-9.554893,-194.005311
123,281.000000,-6.686114,-203.629874,281.000000,-9.831234,-196.204230
124,288.000000,-7.171094,-206.503667,288.000000,-10.128313,-198.510853
125,295.000000,-8.037689,-210.194824,295.000000,-10.691350,-201.748905
126,301.000000,-8.503803,-212.278233,301.000000,-10.999129,-203.620850
127,309.000000,-9.121628,-213.794243,309.000000,-11.436180,-205.220389
128,316.000000,-9.906322,-217.722988,316.000000,-11.968814,-208.850198
129,323.000000,-10.204167,-217.870740,323.000000,-12.199163,-209.202972
130,331.000000,-11.422332,-220.794595,331.000000,-13.120705,-212.500854
131,338.000000,-11.985006,-221.955006,338.000000,-13.561273,-213.889604
132,346.000000,-12.726563,-226.061505,346.000000,-14.106415,-217.902173
133,354.000000,-13.179417,-227.389520,354.000000,-14.466707,-219.390050
134,363.000000,-14.364121,-229.161041,363.000000,-15.459400,-221.829820
135,371.000000,-15.297890,-231.954216,371.000000,-16.236742,-224.978000
136,380.000000,-16.476907,-233.435144,380.000000,-17.273250,-227.123341
137,389.000000,-17.081725,-232.030001,389.000000,-17.843632,-226.230474
138,398.000000,-18.031549,-232.663317,398.000000,-18.705559,-227.368185
139,407.000000,-19.675473,-233.106331,407.000000,-20.227012,-228.637775
140,416.000000,-21.581324,-228.730593,416.000000,-22.061508,-225.332007
141,426.000000,-24.243757,-220.108963,426.000000,-24.648225,-217.946920
142,436.000000,-26.372661,-189.886356,436.000000,-26.774359,-189.435368
143,446.000000,-16.272152,-125.428171,446.000000,-17.070011,-131.984249
144,457.000000,-0.031248,-183.553626,457.000000,-6.032061,-181.780010
145,467.000000,-1.800549,-241.779797,467.000000,-5.655314,-214.425486
146,478.000000,-5.545318,-250.139421,478.000000,-7.687802,-227.301135
147,489.000000,-9.813478,-256.520353,489.000000,-10.799963,-240.232714
148,501.000000,-12.591203,-260.671285,501.000000,-13.126373,-248.096103
149,512.000000,-14.837079,-266.824052,512.000000,-15.060987,-256.669005
150,524.000000,-16.232791,-268.909106,524.000000,-16.359827,-260.164507
151,537.000000,-17.910106,-273.436540,537.000000,-17.914146,-266.145214
152,549.000000,-18.904816,-273.696882,549.000000,-18.897164,-267.191192
153,562.000000,-20.309479,-276.103395,562.000000,-20.260528,-270.566022
154,575.000000,-21.659511,-277.802776,575.000000,-21.591199,-273.071081
155,588.000000,-22.343864,-279.607085,588.000000,-22.257654,-275.246696
156,602.000000,-23.286813,-281.258983,602.000000,-23.189957,-277.363873
157,616.000000,-24.052735,-283.383117,616.000000,-23.942341,-279.840488
158,630.000000,-25.172279,-286.934811,630.000000,-25.044125,-283.866700
159,645.000000,-25.813448,-288.136570,645.000000,-25.684488,-285.305546
160,660.000000,-26.741291,-291.301679,660.000000,-26.603105,-288.804947
161,676.000000,-27.313445,-293.429667,676.000000,-27.170373,-291.126369
162,691.000000,-28.055227,-294.913406,691.000000,-27.915044,-292.823879
163,707.000000,-28.864454,-295.791513,707.000000,-28.731891,-293.903373
164,724.000000,-29.779817,-299.471849,724.000000,-29.643667,-297.828173
165,741.000000,-30.721306,-303.369424,741.000000,-30.583790,-301.954486
166,758.000000,-31.572454,-302.765519,758.000000,-31.449722,-301.476042
167,776.000000,-32.675653,-305.685258,776.000000,-32.558691,-304.589044
168,794.000000,-33.477084,-306.285511,794.000000,-33.368766,-305.294489
169,812.000000,-33.902842,-309.634900,812.000000,-33.791398,-308.733056
170,831.000000,-34.803526,-309.740351,831.000000,-34.702797,-308.929586
171,851.000000,-35.831641,-311.266356,851.000000,-35.739225,-310.562978
172,870.000000,-36.544930,-315.796922,870.000000,-36.452224,-315.195916
173,891.000000,-37.440053,-315.303735,891.000000,-37.357144,-314.757421
174,912.000000,-38.188522,-318.835691,912.000000,-38.107884,-318.366764
175,933.000000,-39.178702,-323.274351,933.000000,-39.102031,-322.894412
176,954.000000,-39.451427,-320.816258,954.000000,-39.379613,-320.427454
177,977.000000,-40.434589,-326.617495,977.000000,-40.365446,-326.315226
178,999.000000,-41.375680,-327.388540,999.000000,-41.313099,-327.123074
