"Frequency Response"
""
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.057744,0.242015,1.000000,42.102316,-212.309873
1,2.000000,0.027257,0.115034,2.000000,48.590089,-212.552978
2,3.000000,0.055686,0.130340,3.000000,43.374117,-199.471032
3,4.000000,0.081200,0.026646,4.000000,40.615052,-182.834717
4,5.000000,0.138171,0.056597,5.000000,36.020203,-183.525089
5,6.000000,0.189076,-0.149419,6.000000,33.276038,-173.242907
6,7.000000,0.254964,-0.326347,7.000000,30.613373,-169.181144
7,8.000000,0.294205,-0.613316,8.000000,29.136587,-162.766923
8,9.000000,0.373459,-0.896277,9.000000,26.977704,-160.452344
9,10.000000,0.412043,-1.237236,10.000000,25.864990,-156.138737
10,15.000000,0.697386,-3.648170,15.000000,20.135684,-143.383950
11,20.000000,0.917277,-6.591531,20.000000,16.587698,-135.788369
12,25.000000,1.091940,-10.125669,25.000000,13.827222,-130.382880
13,30.000000,1.179724,-13.939279,30.000000,11.703994,-125.985309
14,35.000000,1.197042,-18.502783,35.000000,9.720478,-122.149303
15,40.000000,0.891358,-22.874761,40.000000,8.197062,-115.656616
16,45.000000,0.139037,-24.867604,45.000000,7.381578,-104.512704
17,50.000000,-0.491647,-22.325369,50.000000,7.903814,-93.002950
18,55.000000,0.285306,-20.464553,55.000000,9.094311,-105.430502
19,60.000000,0.687818,-23.742376,60.000000,7.900052,-112.532784
20,65.000000,1.115582,-26.652379,65.000000,6.958877,-118.475058
21,70.000000,1.275640,-29.928817,70.000000,6.039135,-120.300213
22,75.000000,1.173764,-32.311268,75.000000,5.428465,-119.265441
23,80.000000,1.423122,-32.828601,80.000000,5.316880,-121.921968
24,85.000000,1.980528,-34.010291,85.000000,5.031522,-127.368962
25,90.000000,2.273353,-38.436446,90.000000,4.127063,-129.687786
26,95.000000,2.519810,-40.191529,95.000000,3.801593,-131.585647
27,100.000000,3.015410,-43.837140,100.000000,3.188279,-135.046432
28,105.000000,3.193328,-48.577492,105.000000,2.493198,-136.228750
29,110.000000,3.419913,-53.542172,110.000000,1.848619,-137.840436
30,115.000000,3.594261,-58.581921,115.000000,1.261991,-139.275134
31,120.000000,3.628471,-63.209063,120.000000,0.757127,-140.104972
32,125.000000,3.783418,-67.495333,125.000000,0.346759,-141.540040
33,130.000000,3.879220,-71.608739,130.000000,-0.024338,-142.741245
34,135.000000,4.121937,-76.165673,135.000000,-0.372465,-144.636937
