"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-1.040981,-15.852355
1,2.000000,-2.127155,-14.846476
2,3.000000,-2.525997,-11.000899
3,4.000000,-2.789765,-8.919454
4,5.000000,-2.793949,-7.143361
5,6.000000,-2.812553,-5.728800
6,7.000000,-2.815390,-4.450331
7,8.000000,-2.781815,-3.440653
8,9.000000,-2.700102,-2.583491
9,10.000000,-2.633863,-1.765551
10,11.000000,-2.646249,-1.594744
11,12.000000,-2.582097,-1.501644
12,13.000000,-2.614923,-2.411049
13,14.000000,-2.487117,-3.047233
14,15.000000,-2.167305,0.247049
15,16.000000,-2.174188,0.404563
16,17.000000,-2.173804,0.393986
17,18.000000,-2.164765,0.429305
18,19.000000,-2.171247,0.181852
19,20.000000,-1.683266,0.327822
20,21.000000,-1.682837,0.468739
21,22.000000,-1.672513,0.370746
22,23.000000,-1.691861,0.412287
23,24.000000,-1.698115,0.187823
24,25.000000,-1.229082,-0.682504
25,26.000000,-1.248620,-0.652041
26,27.000000,-1.234812,-0.501221
27,28.000000,-1.227407,-0.515819
28,29.000000,-1.244343,-0.628270
29,30.000000,-0.811129,-2.334997
30,31.000000,-0.859686,-2.264898
31,32.000000,-0.821665,-2.464394
32,33.000000,-0.814183,-2.469593
33,34.000000,-0.888873,-2.278844
34,35.000000,-0.427505,-4.246209
35,36.000000,-0.424803,-4.175808
36,37.000000,-0.452446,-4.061993
37,38.000000,-0.481980,-4.627124
38,39.000000,-0.463101,-4.517767
39,40.000000,0.005361,-7.177682
40,41.000000,-0.156329,-7.240597
41,42.000000,-0.104626,-6.862192
42,43.000000,-0.076625,-6.724401
43,44.000000,-0.087554,-6.572658
44,45.000000,0.300990,-10.086323
45,46.000000,0.381118,-8.970434
46,47.000000,0.186672,-9.102732
47,48.000000,0.253895,-9.239346
48,50.000000,0.538549,-10.830365
49,51.000000,0.532075,-10.786419
50,52.000000,0.370938,-11.439620
51,53.000000,0.526907,-10.767492
52,54.000000,0.601610,-11.332645
53,56.000000,0.851891,-15.257449
54,57.000000,0.987316,-14.175778
55,58.000000,0.650840,-15.090576
56,60.000000,1.195049,-16.306864
57,61.000000,1.136462,-16.387180
58,63.000000,1.127646,-17.701811
59,64.000000,1.065608,-17.039017
60,66.000000,1.404344,-21.456844
61,67.000000,1.342414,-18.221652
62,69.000000,1.093394,-20.756025
63,70.000000,1.541313,-21.331698
64,72.000000,1.484559,-23.249131
65,74.000000,1.644201,-22.231187
66,75.000000,1.910473,-25.655270
67,77.000000,1.831715,-25.291173
68,79.000000,1.751593,-26.415652
69,81.000000,2.357527,-26.325843
70,83.000000,1.776993,-29.143589
71,85.000000,2.264811,-30.935933
72,87.000000,2.455890,-33.028939
73,89.000000,2.428525,-31.934364
74,91.000000,2.979939,-37.273417
75,93.000000,2.409766,-36.248865
76,95.000000,3.132293,-38.442748
77,97.000000,3.206785,-37.823492
78,100.000000,3.555496,-46.787928
79,102.000000,2.911211,-40.866202
80,104.000000,2.897486,-45.504931
81,107.000000,3.832661,-49.875057
82,109.000000,3.495958,-45.465849
83,112.000000,4.295695,-52.102425
84,114.000000,4.076506,-54.666346
85,117.000000,4.486561,-53.724646
86,120.000000,4.594886,-60.885359
87,123.000000,4.759330,-61.903585
88,125.000000,4.993806,-70.995705
89,128.000000,4.875461,-70.738979
90,131.000000,4.874144,-72.640441
91,134.000000,5.109638,-76.763835
92,138.000000,5.897128,-92.711163
93,141.000000,5.438802,-87.993739
94,144.000000,5.210847,-88.704379
95,147.000000,6.028528,-100.757880
96,151.000000,5.526632,-106.004674
97,154.000000,5.534822,-116.619421
98,158.000000,4.951490,-122.186568
99,162.000000,4.845071,-124.190210
100,165.000000,4.888553,-126.400642
101,169.000000,4.210101,-123.968999
102,173.000000,4.123811,-130.308128
103,177.000000,3.894841,-133.891433
104,181.000000,3.465642,-138.822918
105,186.000000,2.604548,-147.744031
106,190.000000,2.002407,-150.854147
107,194.000000,1.903638,-151.206329
108,199.000000,1.366890,-156.724000
109,204.000000,0.948425,-160.106699
110,208.000000,0.257338,-163.919333
111,213.000000,-0.323466,-168.965159
112,218.000000,-0.918344,-171.314449
113,223.000000,-1.550111,-174.520491
114,229.000000,-2.226819,-177.635796
115,234.000000,-2.811889,-180.382467
116,239.000000,-3.480863,-183.055106
117,245.000000,-4.657521,-187.682046
118,251.000000,-5.335162,-190.259325
119,257.000000,-5.805099,-191.899371
120,263.000000,-6.419214,-193.843812
121,269.000000,-6.953743,-196.022858
122,275.000000,-7.931998,-199.794735
123,281.000000,-8.553478,-201.015080
124,288.000000,-9.089601,-201.953259
125,295.000000,-10.318979,-205.363890
126,301.000000,-10.935878,-206.362333
127,309.000000,-11.441348,-207.551652
128,316.000000,-12.848311,-209.388777
129,323.000000,-13.620194,-209.676105
130,331.000000,-15.157315,-211.405713
131,338.000000,-16.055380,-211.340583
132,346.000000,-17.822447,-210.126229
133,354.000000,-18.976714,-207.536627
134,363.000000,-22.354492,-196.917413
135,371.000000,-26.232263,-161.469920
136,380.000000,-22.003828,-108.412406
137,389.000000,-19.708698,-57.135050
138,398.000000,-4.934144,-101.266980
139,407.000000,-0.496483,-210.178197
140,416.000000,-1.708243,-241.680410
141,426.000000,-5.036667,-235.270646
142,436.000000,-8.531470,-262.063624
143,446.000000,-9.780517,-254.516255
144,457.000000,-11.563522,-258.931449
145,467.000000,-13.116301,-260.125377
146,478.000000,-14.485084,-261.316090
147,489.000000,-15.405117,-265.951967
148,501.000000,-16.302608,-264.497378
149,512.000000,-17.652917,-270.473155
150,524.000000,-18.188919,-273.846286
151,537.000000,-19.461446,-275.846517
152,549.000000,-19.998935,-276.559173
153,562.000000,-21.089538,-279.968650
154,575.000000,-22.054977,-282.311899
155,588.000000,-22.547355,-283.421756
156,602.000000,-23.613992,-286.554429
157,616.000000,-24.142800,-289.093575
158,630.000000,-24.912822,-291.523849
159,645.000000,-25.883701,-294.215380
160,660.000000,-26.664799,-296.143557
161,676.000000,-27.389367,-297.759407
162,691.000000,-27.972421,-300.763876
163,707.000000,-28.660022,-302.805550
164,724.000000,-29.382085,-303.995972
165,741.000000,-30.158240,-307.024113
166,758.000000,-30.986282,-310.256283
167,776.000000,-31.887699,-311.956562
168,794.000000,-32.467294,-315.233626
169,812.000000,-33.433820,-316.383561
170,831.000000,-34.249646,-318.863445
171,851.000000,-35.205647,-321.400807
172,870.000000,-36.105034,-322.796507
173,891.000000,-37.035590,-324.970755
174,912.000000,-37.893724,-326.310490
175,933.000000,-39.071341,-328.007186
176,954.000000,-40.006287,-327.677857
177,977.000000,-41.533554,-327.599189
178,999.000000,-43.040108,-329.124973
179,1000.000000,-43.134111,-327.897278
