"Frequency Response - Position"
"Axis-1: 1 - 500Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.124151,-10.939729
1,2.000000,-0.204522,-21.964091
2,3.000000,-0.783724,-31.361287
3,4.000000,-1.761149,-41.462920
4,5.000000,-2.538869,-47.908915
5,6.000000,-3.607526,-52.827670
6,7.000000,-4.799822,-57.908549
7,8.000000,-6.200015,-59.454948
8,9.000000,-6.625272,-61.031194
9,10.000000,-7.491848,-65.035588
10,11.000000,-7.138779,-68.674662
11,12.000000,-7.962395,-72.013026
12,13.000000,-7.897640,-50.716075
13,14.000000,-5.957265,-44.389015
14,15.000000,-10.048371,-70.673257
15,16.000000,-9.929955,-69.666099
16,17.000000,-9.007603,-71.990873
17,18.000000,-10.416252,-61.591392
18,19.000000,-12.188904,-68.385322
19,20.000000,-12.164738,-74.121023
20,21.000000,-11.854872,-75.153265
21,22.000000,-11.854429,-70.362299
22,23.000000,-12.720903,-75.795865
23,24.000000,-13.473108,-73.810421
24,25.000000,-13.291612,-79.953005
25,26.000000,-13.150244,-81.537686
26,27.000000,-13.563451,-76.860023
27,28.000000,-13.119072,-77.945054
28,29.000000,-12.522352,-72.779306
29,30.000000,-13.702581,-83.077966
30,31.000000,-13.970464,-85.737225
31,32.000000,-14.204088,-82.869194
32,33.000000,-14.216453,-83.200196
33,34.000000,-13.115642,-83.180437
34,35.000000,-14.914037,-89.935599
35,36.000000,-15.926832,-87.480103
36,37.000000,-15.410004,-93.095654
37,38.000000,-15.141217,-92.252911
38,39.000000,-14.949620,-89.717965
39,40.000000,-16.519385,-93.577797
40,41.000000,-15.562636,-96.506643
41,42.000000,-15.994455,-94.210560
42,43.000000,-15.697929,-92.922927
43,44.000000,-15.694504,-92.768799
44,45.000000,-16.693707,-101.692151
45,46.000000,-16.594673,-99.159908
46,47.000000,-16.136569,-96.508152
47,48.000000,-16.258003,-96.512440
48,50.000000,-17.198492,-96.222504
49,51.000000,-17.295997,-107.080246
50,52.000000,-16.429235,-105.984322
51,53.000000,-16.728920,-97.280071
52,54.000000,-16.818519,-98.631767
53,56.000000,-17.510686,-102.568187
54,57.000000,-17.623770,-103.449188
55,58.000000,-16.188863,-104.869769
56,60.000000,-18.076433,-108.270118
57,61.000000,-18.006249,-111.788470
58,63.000000,-17.666736,-109.764351
59,64.000000,-17.824005,-111.143050
60,66.000000,-17.162747,-113.117993
61,67.000000,-18.638141,-111.769621
62,69.000000,-18.157083,-118.108998
63,70.000000,-17.789696,-115.295048
64,72.000000,-18.880613,-120.007423
65,74.000000,-17.974936,-114.105100
66,75.000000,-18.369381,-121.183972
67,77.000000,-18.452613,-120.119169
68,79.000000,-17.845011,-121.099334
69,81.000000,-18.028343,-124.139665
70,83.000000,-17.947756,-125.374647
71,85.000000,-18.588161,-134.302088
72,87.000000,-18.825023,-131.636473
73,89.000000,-18.881598,-131.062602
74,91.000000,-18.789054,-133.187201
75,93.000000,-18.886493,-134.601181
76,95.000000,-19.162264,-144.073590
77,97.000000,-19.310511,-143.417560
78,100.000000,-19.169927,-150.033782
79,102.000000,-19.170922,-151.227411
80,104.000000,-19.709891,-149.296751
81,107.000000,-19.179111,-151.020364
82,109.000000,-19.414529,-151.192704
83,112.000000,-18.583340,-160.274206
84,114.000000,-19.192274,-157.978411
85,117.000000,-19.238605,-160.063581
86,120.000000,-19.392648,-169.833850
87,123.000000,-19.508309,-172.609875
88,125.000000,-19.783426,-178.840465
89,128.000000,-19.703298,-178.533437
90,131.000000,-19.648673,-187.482052
91,134.000000,-19.511170,-188.910185
92,138.000000,-19.530863,-192.986189
93,141.000000,-19.628019,-200.193737
94,144.000000,-19.709910,-201.186350
95,147.000000,-20.054356,-207.804542
96,151.000000,-19.726299,-218.776293
97,154.000000,-19.828167,-214.165983
98,158.000000,-20.790464,-226.472549
99,162.000000,-20.914009,-239.007229
100,165.000000,-22.505086,-249.691538
101,169.000000,-21.329907,-241.101253
102,173.000000,-23.237042,-252.505529
103,177.000000,-23.296356,-255.857784
104,181.000000,-23.218247,-267.768205
105,186.000000,-25.285513,-267.374676
106,190.000000,-25.827518,-288.528193
107,194.000000,-25.518095,-292.269068
108,199.000000,-26.391308,-282.640543
109,204.000000,-33.578797,-271.040609
110,208.000000,-30.411787,-294.944999
111,213.000000,-30.851564,-295.697400
112,218.000000,-33.051907,-302.367990
113,223.000000,-35.746569,-313.228316
114,229.000000,-35.818248,-313.041294
115,234.000000,-34.876611,-323.564812
116,239.000000,-37.910794,-320.266574
117,245.000000,-33.715287,-324.773616
118,251.000000,-30.882181,-343.703861
119,269.000000,-34.868728,-340.177514
120,275.000000,-33.571268,-359.986925
121,281.000000,-34.560105,-342.560506
122,288.000000,-36.189161,-359.111446
123,295.000000,-35.565728,-357.497916
124,301.000000,-35.120563,-345.600539
125,309.000000,-36.987996,-379.108408
126,316.000000,-35.790070,-384.370133
127,323.000000,-37.379898,-378.544549
128,331.000000,-41.621492,-391.386589
129,338.000000,-43.147251,-401.733322
130,346.000000,-40.629331,-370.862124
131,354.000000,-46.264250,-389.085225
132,363.000000,-43.875646,-366.189695
133,371.000000,-46.198496,-425.728364
134,380.000000,-46.964661,-351.064508
135,389.000000,-48.389184,-310.370093
136,398.000000,-46.243343,-387.127918
137,407.000000,-49.665786,-395.651848
138,416.000000,-46.951455,-353.747999
139,426.000000,-42.987689,-331.839769
140,436.000000,-42.342289,-352.526222
141,446.000000,-46.193053,-374.115540
142,457.000000,-49.584775,-358.912921
143,467.000000,-48.721295,-431.288108
144,478.000000,-42.208039,-383.636685
145,489.000000,-52.051539,-474.925075
146,500.000000,-56.751769,-540.000000
