"Frequency Response - Position"
"Axis-1: 1 - 200Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-0.107159,-12.154452
1,2.000000,-0.543125,-23.738272
2,3.000000,-1.255106,-33.798363
3,4.000000,-2.172160,-39.728023
4,5.000000,-3.031043,-48.130507
5,6.000000,-3.855054,-52.858212
6,7.000000,-4.811657,-58.069836
7,8.000000,-5.118401,-61.069819
8,9.000000,-6.155472,-64.235590
9,10.000000,-6.642199,-66.937298
10,11.000000,-7.580512,-69.003870
11,12.000000,-5.724669,-62.546046
12,13.000000,-6.401454,-53.952588
13,14.000000,-9.619564,-54.895589
14,15.000000,-9.280549,-77.866951
15,16.000000,-9.375577,-77.774062
16,17.000000,-10.389819,-77.940889
17,18.000000,-8.224911,-85.135722
18,19.000000,-9.945041,-91.791306
19,20.000000,-10.731780,-83.847684
20,21.000000,-10.628274,-83.520637
21,22.000000,-11.680342,-86.421325
22,23.000000,-11.433826,-83.986364
23,24.000000,-10.284575,-76.407545
24,25.000000,-11.957411,-90.766711
25,26.000000,-12.009627,-88.692946
26,27.000000,-11.690337,-87.420864
27,28.000000,-12.144353,-91.598255
28,29.000000,-12.867753,-84.972159
29,30.000000,-12.590106,-94.566766
30,31.000000,-12.336327,-101.850512
31,32.000000,-12.262786,-98.146876
32,33.000000,-12.298669,-99.913319
33,34.000000,-11.981415,-105.242739
34,35.000000,-13.158463,-98.658850
35,36.000000,-13.610050,-100.453462
36,37.000000,-13.264513,-107.130096
37,38.000000,-12.960574,-105.117709
38,39.000000,-12.893007,-100.601456
39,40.000000,-12.430972,-111.580341
40,41.000000,-12.342806,-104.355299
41,42.000000,-12.777720,-106.259246
42,43.000000,-12.525991,-107.346565
43,44.000000,-12.417630,-106.080037
44,45.000000,-10.709852,-120.141670
45,46.000000,-11.165149,-131.475415
46,47.000000,-11.711262,-135.742851
47,48.000000,-12.095758,-136.281873
48,50.000000,-10.701627,-137.395494
49,51.000000,-9.312844,-122.787065
50,52.000000,-9.662088,-132.842466
51,53.000000,-9.824452,-131.649234
52,54.000000,-10.077549,-128.308959
53,56.000000,-19.460203,-197.961619
54,57.000000,-18.440658,-159.349385
55,58.000000,-18.783518,-148.879471
56,60.000000,-13.004084,-140.975748
57,61.000000,-14.555381,-139.648818
58,63.000000,-14.093637,-139.457344
59,64.000000,-14.317065,-137.846533
60,66.000000,-11.410399,-159.422574
61,67.000000,-13.722996,-162.531634
62,69.000000,-13.746977,-160.846543
63,70.000000,-8.373043,-170.591838
64,72.000000,-7.518964,-169.823815
65,74.000000,-7.430961,-170.062138
66,75.000000,-13.301020,-243.437797
67,77.000000,-14.019744,-227.679888
68,79.000000,-14.364451,-221.757480
69,81.000000,-14.916451,-186.751391
70,83.000000,-15.668454,-186.864553
71,85.000000,-11.467929,-201.219206
72,87.000000,-11.851616,-202.363495
73,89.000000,-11.748282,-202.977183
74,91.000000,-10.206019,-225.359157
75,93.000000,-10.515931,-224.664655
76,95.000000,-10.956385,-242.654329
77,97.000000,-11.108465,-238.877852
78,100.000000,-10.713869,-258.091838
79,102.000000,-10.112471,-267.686361
80,104.000000,-11.567117,-260.845984
81,107.000000,-11.406387,-280.523257
82,109.000000,-11.515438,-277.445493
83,112.000000,-10.683299,-296.190229
84,114.000000,-10.780150,-296.538208
85,117.000000,-11.693223,-314.038321
86,120.000000,-10.398255,-340.575017
87,123.000000,-10.295565,-345.482191
88,125.000000,-12.759416,-370.579470
89,128.000000,-12.203900,-369.740747
90,131.000000,-14.286137,-394.135829
91,134.000000,-14.708306,-398.081295
92,138.000000,-18.447701,-410.233663
93,141.000000,-20.839936,-419.896763
94,144.000000,-20.708834,-419.959449
95,147.000000,-23.349017,-432.781301
96,151.000000,-24.478406,-438.586590
97,154.000000,-23.903862,-435.486540
98,158.000000,-25.433826,-453.448060
99,162.000000,-28.858500,-452.678615
100,165.000000,-30.811249,-464.591740
101,169.000000,-30.791081,-457.923758
102,173.000000,-31.814702,-465.998577
103,177.000000,-32.897132,-475.799007
104,181.000000,-33.365768,-476.423550
105,186.000000,-34.383336,-495.244295
106,190.000000,-41.015418,-481.697761
107,194.000000,-37.605024,-486.241121
108,199.000000,-38.231185,-504.360028
109,200.000000,-42.721611,-487.098085
