"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.227222,-12.440258,1.000000,13.333705,-103.063107
1,2.000000,-0.271560,-14.379733,2.000000,11.827231,-90.126444
2,3.000000,-0.675696,-14.378694,3.000000,11.292359,-80.060009
3,4.000000,-0.907896,-13.990063,4.000000,11.078959,-73.942191
4,5.000000,-1.035583,-13.640909,5.000000,10.991336,-70.355124
5,6.000000,-1.112802,-13.392547,6.000000,10.941785,-68.112022
6,7.000000,-1.162149,-13.183136,7.000000,10.928646,-66.560550
7,8.000000,-1.186343,-13.059546,8.000000,10.930338,-65.747360
8,9.000000,-1.199200,-13.033970,9.000000,10.911206,-65.413107
9,10.000000,-1.202650,-13.012544,10.000000,10.913073,-65.287649
10,15.000000,-1.139985,-14.128232,15.000000,10.523202,-69.194386
11,20.000000,-1.010079,-16.362044,20.000000,9.738947,-76.182772
12,25.000000,-0.915553,-19.374332,25.000000,8.594781,-82.544319
13,30.000000,-0.890819,-23.412283,30.000000,7.119529,-87.817212
14,35.000000,-0.981385,-27.288660,35.000000,5.791916,-90.556729
15,40.000000,-1.106778,-32.414539,40.000000,4.289533,-93.860217
16,45.000000,-1.597834,-37.767156,45.000000,2.640835,-93.873189
17,50.000000,-2.659482,-40.629054,50.000000,1.061505,-88.004289
18,55.000000,-2.897264,-35.916061,55.000000,1.626926,-80.942842
19,60.000000,-2.143124,-38.538538,60.000000,1.966537,-89.922516
20,65.000000,-2.852975,-49.677240,65.000000,-0.536330,-95.464741
21,70.000000,-3.519780,-46.014064,70.000000,-0.666933,-87.798620
22,75.000000,-3.347453,-46.933464,75.000000,-0.620643,-89.791248
23,80.000000,-4.182764,-51.061774,80.000000,-2.001207,-89.214644
24,85.000000,-3.305608,-49.021229,85.000000,-0.869841,-92.100606
25,90.000000,-4.051140,-59.709711,90.000000,-2.863258,-98.098733
26,95.000000,-4.790098,-61.446012,95.000000,-3.717466,-96.373267
27,100.000000,-5.754284,-64.212189,100.000000,-4.877703,-95.110648
28,105.000000,-6.961774,-64.399807,105.000000,-6.065743,-91.052297
29,110.000000,-8.643331,-56.917485,110.000000,-7.294869,-78.126861
30,115.000000,-8.286176,-37.597340,115.000000,-5.593786,-56.285580
31,120.000000,-5.233891,-31.191260,120.000000,-0.834237,-59.256013
32,125.000000,-3.352242,-45.531436,125.000000,-0.425419,-88.337934
33,130.000000,-3.992206,-59.715139,130.000000,-2.811003,-98.381133
34,135.000000,-4.393369,-63.462008,135.000000,-3.556777,-99.905548
