"Frequency Response"
"Axis-2: 1 - 1000Hz, MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.384442,-17.659479,1.000000,10.188128,-104.745250
1,2.000000,-0.161424,-18.230907,2.000000,9.712276,-97.960842
2,3.000000,-0.425186,-17.776899,3.000000,9.952979,-90.763301
3,4.000000,-0.443802,-17.538908,4.000000,9.834002,-87.313559
4,5.000000,-0.306316,-17.567689,5.000000,10.248586,-91.639047
5,6.000000,-0.064705,-18.075313,6.000000,10.034460,-97.764048
6,7.000000,0.187173,-18.934889,7.000000,9.778724,-104.092440
7,8.000000,0.379100,-20.075215,8.000000,9.261108,-109.274005
8,9.000000,0.588275,-21.450395,9.000000,8.804094,-110.433681
9,10.000000,0.787383,-23.216851,10.000000,8.389281,-114.578426
10,15.000000,1.474244,-37.437686,11.000000,7.889278,-115.237943
11,20.000000,0.823031,-58.581719,12.000000,8.357730,-104.665394
12,25.000000,-1.583509,-74.240391,13.000000,6.747100,-102.878003
13,30.000000,-3.713432,-88.958756,14.000000,9.685409,-95.458391
14,35.000000,-8.758525,-93.470667,15.000000,4.229026,-124.770650
15,40.000000,-10.668260,-41.201368,16.000000,4.099415,-124.860542
16,45.000000,-6.022651,-56.268661,17.000000,4.568100,-124.440688
17,50.000000,-4.487336,-63.938489,18.000000,4.226219,-115.872259
18,55.000000,-7.234199,-94.626185,19.000000,5.867779,-118.648105
19,60.000000,-8.760153,-89.811102,20.000000,-0.003948,-125.172347
20,65.000000,-9.675161,-85.256236,21.000000,0.175745,-126.986413
21,70.000000,-10.421319,-85.984325,22.000000,-0.166537,-121.359635
22,75.000000,-10.002465,-63.247874,23.000000,-0.164974,-123.129598
23,80.000000,-7.200233,-82.504579,24.000000,-0.103065,-132.898011
24,85.000000,-9.097052,-101.145255,25.000000,-2.113144,-120.216487
25,90.000000,-8.279551,-88.741773,26.000000,-2.074535,-123.566086
26,95.000000,-8.415040,-111.121960,27.000000,-2.694523,-121.243841
27,100.000000,-9.278389,-112.680921,28.000000,-2.403173,-123.820040
28,105.000000,-10.071204,-121.837974,29.000000,-1.203153,-123.185684
29,110.000000,-10.584338,-118.479330,30.000000,-5.964785,-121.660417
30,115.000000,-11.216468,-127.818031,31.000000,-5.531069,-117.190655
