"Frequency Response"
"Axis-2: 1 - 1000Hz, MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.006871,0.219781,1.000000,48.145220,-258.238026
1,2.000000,0.094761,0.406469,2.000000,37.759470,-212.831578
2,3.000000,0.314151,0.756261,3.000000,28.447189,-199.673365
3,4.000000,0.542998,0.007770,4.000000,24.350381,-180.120443
4,5.000000,0.737385,-2.475032,5.000000,20.789196,-154.251363
5,6.000000,0.662511,-8.743771,6.000000,15.697623,-120.872528
6,7.000000,0.564497,-13.888035,7.000000,12.310131,-111.877865
7,8.000000,0.708626,-16.802706,8.000000,10.714175,-113.833154
8,9.000000,0.904250,-19.203695,9.000000,9.583636,-116.690162
9,10.000000,1.078119,-21.287634,10.000000,8.723850,-118.896512
10,15.000000,1.629132,-36.730581,15.000000,4.456019,-124.095708
11,20.000000,0.721703,-56.925897,20.000000,0.744452,-122.842662
12,25.000000,-1.831412,-72.247799,25.000000,-2.483682,-117.934476
13,30.000000,-4.049905,-85.769067,30.000000,-5.192652,-119.033719
14,35.000000,-8.693508,-90.797020,35.000000,-9.282790,-110.882053
15,40.000000,-9.938694,-43.621366,40.000000,-8.002766,-59.557312
16,45.000000,-6.060906,-52.727866,45.000000,-4.155781,-82.277078
17,50.000000,-4.609943,-60.589539,50.000000,-3.465178,-96.360696
18,55.000000,-7.735165,-89.917031,55.000000,-8.406864,-112.243819
19,60.000000,-9.190814,-85.988779,60.000000,-9.492438,-105.527020
20,65.000000,-10.238170,-81.001016,65.000000,-10.231271,-98.706777
21,70.000000,-11.332507,-80.501600,70.000000,-11.262695,-96.147609
22,75.000000,-9.929581,-56.101336,75.000000,-8.657124,-73.941470
23,80.000000,-6.927344,-77.389935,80.000000,-6.954269,-103.379663
24,85.000000,-10.146949,-96.416743,85.000000,-10.814568,-113.042319
25,90.000000,-8.528114,-79.864278,90.000000,-8.564829,-101.408602
26,95.000000,-9.528271,-98.130465,95.000000,-10.341430,-115.647085
27,100.000000,-9.793359,-99.392452,100.000000,-10.623267,-116.273491
28,105.000000,-10.853608,-109.223407,105.000000,-11.894730,-123.114369
