"Frequency Response"
"MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.006005,0.062931,1.000000,57.261923,-232.965351
1,2.000000,0.058615,0.168200,2.000000,52.332771,-205.062222
2,3.000000,0.141787,0.318929,3.000000,46.171648,-219.366861
3,4.000000,0.251084,0.232647,4.000000,41.968258,-192.381440
4,5.000000,0.406225,-0.167628,5.000000,37.149580,-181.883162
5,6.000000,0.581004,-0.557552,6.000000,34.251966,-174.718549
6,7.000000,0.745743,-1.259477,7.000000,32.428583,-171.937622
7,8.000000,0.939126,-2.194253,8.000000,30.194695,-168.398559
8,9.000000,1.098667,-3.648643,9.000000,27.935424,-163.915032
9,10.000000,1.218102,-5.721446,10.000000,26.386599,-162.748675
10,15.000000,0.989548,-19.340100,15.000000,20.805289,-146.773289
11,20.000000,0.585486,-29.616925,20.000000,16.878754,-138.438092
12,25.000000,0.239268,-39.407099,25.000000,14.113503,-131.819087
13,30.000000,-0.365008,-51.416387,30.000000,11.174370,-130.317668
14,35.000000,-2.470470,-65.628829,35.000000,8.567849,-121.965784
15,40.000000,-6.998820,-54.748776,40.000000,6.076704,-90.944641
16,45.000000,-3.473799,-36.464814,45.000000,12.474215,-76.848536
17,50.000000,-1.680345,-33.453587,50.000000,14.902018,-89.922590
18,55.000000,-2.141650,-69.119539,55.000000,7.939646,-119.703961
19,60.000000,-3.838466,-68.331398,60.000000,7.243626,-117.846785
20,65.000000,-5.720103,-66.627911,65.000000,5.814373,-106.470209
21,70.000000,-5.644972,-56.456216,70.000000,6.140280,-92.129731
22,75.000000,-3.118199,-47.511470,75.000000,10.560134,-98.179697
23,80.000000,-1.891617,-70.317523,80.000000,7.311549,-128.599765
24,85.000000,-4.297513,-78.334750,85.000000,6.230272,-120.469609
25,90.000000,-3.666071,-74.405530,90.000000,6.003682,-120.836895
26,95.000000,-3.419783,-83.515686,95.000000,5.778831,-129.241892
27,100.000000,-3.653601,-87.475777,100.000000,5.232331,-130.575025
28,105.000000,-3.980673,-98.787937,105.000000,4.346000,-135.583284
29,110.000000,-5.130141,-101.045117,110.000000,3.610914,-134.697417
30,115.000000,-5.255910,-107.506984,115.000000,3.119040,-138.258866
31,120.000000,-6.144340,-111.427589,120.000000,2.493359,-138.873777
32,125.000000,-6.863961,-114.706466,125.000000,1.927558,-139.616686
33,130.000000,-7.217399,-118.129176,130.000000,1.539803,-140.453269
34,135.000000,-7.817296,-118.565595,135.000000,1.116726,-141.319425
35,140.000000,-8.034832,-121.601482,140.000000,0.841385,-142.450378
36,145.000000,-8.271803,-124.088512,145.000000,0.607839,-143.020572
37,150.000000,-8.449326,-127.385895,150.000000,0.381408,-145.690550
38,155.000000,-9.089408,-131.968035,155.000000,-0.037543,-148.301484
39,160.000000,-9.766044,-133.373841,160.000000,-0.533829,-149.153310
40,165.000000,-10.125852,-134.589964,165.000000,-0.850650,-150.368669
41,170.000000,-10.520050,-136.353801,170.000000,-1.256909,-151.047116
42,175.000000,-10.840940,-137.773574,175.000000,-1.513600,-152.774044
43,180.000000,-11.075271,-140.039932,180.000000,-1.885388,-154.071312
44,185.000000,-11.630138,-143.432398,185.000000,-2.167165,-156.485496
45,190.000000,-12.415413,-143.883223,190.000000,-2.793564,-157.621871
46,195.000000,-12.559431,-142.960705,195.000000,-3.088787,-157.100654
47,200.000000,-12.396806,-145.342771,200.000000,-3.068719,-158.875219
48,205.000000,-12.388116,-151.590921,205.000000,-3.138930,-162.552657
49,210.000000,-13.575477,-156.315381,210.000000,-3.726899,-167.163425
50,215.000000,-14.497352,-152.572889,215.000000,-4.646204,-166.152912
51,220.000000,-13.870266,-152.807335,220.000000,-4.470611,-166.038802
52,225.000000,-14.775990,-156.286790,225.000000,-4.729650,-170.148104
53,230.000000,-14.522991,-161.146086,230.000000,-4.904471,-171.299807
54,235.000000,-15.564101,-163.256209,235.000000,-5.468694,-176.957904
55,240.000000,-15.924349,-163.601266,240.000000,-6.254081,-176.317178
56,245.000000,-16.290980,-162.237040,245.000000,-6.606563,-176.844401
57,250.000000,-16.764494,-165.482692,250.000000,-6.815210,-180.788877
58,255.000000,-17.165334,-164.093878,255.000000,-7.484507,-179.990828
59,260.000000,-17.315319,-164.312571,260.000000,-7.644541,-181.109039
60,265.000000,-17.498478,-162.197880,265.000000,-7.978876,-181.490771
61,270.000000,-17.489922,-169.714320,270.000000,-7.838904,-185.334566
62,275.000000,-17.732593,-167.527372,275.000000,-8.129849,-188.500403
63,280.000000,-18.517708,-173.645993,280.000000,-9.036025,-194.396791
64,285.000000,-19.197947,-172.657898,285.000000,-9.860395,-194.549430
65,290.000000,-19.395662,-176.342061,290.000000,-9.974061,-194.333902
66,295.000000,-20.061459,-169.344941,295.000000,-10.768727,-197.182602
67,300.000000,-20.328652,-162.725633,300.000000,-11.647490,-186.329796
68,305.000000,-20.580450,-173.859723,305.000000,-11.624985,-198.992145
69,310.000000,-21.480268,-173.280013,310.000000,-12.492722,-200.552175
70,315.000000,-22.066462,-171.011354,315.000000,-13.072359,-200.055739
71,320.000000,-22.585007,-170.465123,320.000000,-13.712484,-201.368311
72,325.000000,-22.971000,-169.308649,325.000000,-14.136580,-199.409527
73,330.000000,-23.129242,-166.210899,330.000000,-14.714455,-198.655889
74,335.000000,-23.224475,-164.174815,335.000000,-15.214928,-197.703319
75,340.000000,-23.276908,-161.300243,340.000000,-15.592415,-196.914516
76,345.000000,-23.312928,-158.730913,345.000000,-16.264473,-195.760583
77,350.000000,-22.978708,-154.781333,350.000000,-16.850739,-191.156226
78,355.000000,-22.449893,-151.725401,355.000000,-16.856566,-185.782039
79,360.000000,-21.575788,-152.652313,360.000000,-16.072926,-184.653379
80,365.000000,-21.166742,-153.150184,365.000000,-15.627575,-186.213075
81,370.000000,-20.718917,-153.087826,370.000000,-15.334863,-188.404471
82,375.000000,-19.780593,-153.845742,375.000000,-14.996522,-192.803641
83,380.000000,-19.178673,-158.957000,380.000000,-14.636931,-196.887339
84,385.000000,-18.890916,-162.988654,385.000000,-14.653836,-207.050100
85,390.000000,-18.442861,-166.738565,390.000000,-15.277131,-215.576768
86,395.000000,-18.236491,-172.350728,395.000000,-15.865832,-223.432838
87,400.000000,-18.261381,-175.391550,400.000000,-18.161440,-228.408331
88,405.000000,-18.110677,-179.119452,405.000000,-19.860772,-224.475855
89,410.000000,-18.082527,-182.109286,410.000000,-22.930701,-216.575029
90,415.000000,-17.821830,-187.350928,415.000000,-24.031314,-209.932193
91,420.000000,-17.545419,-194.501667,420.000000,-27.522327,-190.382430
92,425.000000,-18.129537,-203.477954,425.000000,-26.410040,-140.134388
93,430.000000,-18.851148,-207.409622,430.000000,-20.748521,-144.522489
94,435.000000,-19.019980,-210.110252,435.000000,-20.185382,-152.850522
95,440.000000,-20.063619,-214.385456,440.000000,-18.994081,-148.918156
96,445.000000,-20.045284,-213.906609,445.000000,-18.610842,-157.729908
97,450.000000,-20.840940,-216.727480,450.000000,-18.133790,-159.504154
98,455.000000,-20.925079,-218.398103,455.000000,-17.966085,-164.308161
99,460.000000,-21.513780,-220.038136,460.000000,-17.432996,-167.010142
100,465.000000,-21.860267,-220.980110,465.000000,-17.028634,-169.398471
101,470.000000,-22.015829,-222.414717,470.000000,-16.813854,-174.230492
102,475.000000,-22.624469,-223.259267,475.000000,-16.335512,-175.404430
103,480.000000,-22.661890,-226.740370,480.000000,-16.533745,-180.988823
104,485.000000,-23.169723,-225.072441,485.000000,-16.206879,-183.003518
105,490.000000,-23.867236,-226.688077,490.000000,-16.214101,-183.057180
106,495.000000,-24.239274,-228.746072,495.000000,-16.443117,-185.308426
107,500.000000,-24.635261,-230.564224,500.000000,-16.663100,-188.759580
108,505.000000,-24.978044,-230.617450,505.000000,-16.680894,-190.277554
109,510.000000,-25.212838,-230.689781,510.000000,-16.604528,-192.213423
110,515.000000,-25.237258,-230.290727,515.000000,-16.464790,-196.066816
111,520.000000,-25.253881,-232.651269,520.000000,-16.693873,-199.052485
112,525.000000,-25.921453,-235.440039,525.000000,-17.230063,-201.278824
113,530.000000,-26.188783,-233.566872,530.000000,-17.013853,-201.132764
114,535.000000,-26.432454,-235.427101,535.000000,-17.388796,-204.377011
115,540.000000,-26.851477,-235.651628,540.000000,-17.387295,-205.288025
116,545.000000,-27.033167,-238.292892,545.000000,-17.693871,-206.918139
117,550.000000,-27.173003,-236.881091,550.000000,-17.810879,-208.470826
118,555.000000,-27.443168,-238.380319,555.000000,-17.847356,-210.093569
119,560.000000,-27.790539,-240.232453,560.000000,-18.061671,-211.909929
120,565.000000,-28.052181,-240.418737,565.000000,-18.471939,-212.530637
121,570.000000,-28.269458,-239.613027,570.000000,-18.630430,-214.482594
122,575.000000,-28.389744,-239.798074,575.000000,-18.709411,-215.319694
123,580.000000,-28.512701,-242.265659,580.000000,-18.735089,-216.917711
124,585.000000,-28.905316,-243.283461,585.000000,-18.972638,-218.187967
125,590.000000,-28.956481,-243.524693,590.000000,-18.990064,-220.701748
126,595.000000,-29.379476,-244.965613,595.000000,-19.387003,-222.164239
127,600.000000,-29.693498,-245.513637,600.000000,-19.723878,-223.548660
128,605.000000,-29.705385,-245.631487,605.000000,-19.717630,-223.100792
129,610.000000,-29.992869,-247.316466,610.000000,-19.724108,-224.942357
130,615.000000,-30.043482,-248.650622,615.000000,-20.049175,-227.237332
131,620.000000,-30.639758,-248.540741,620.000000,-20.421044,-228.294441
132,625.000000,-30.750860,-250.577761,625.000000,-20.528322,-229.891696
133,630.000000,-30.841036,-249.162408,630.000000,-20.765509,-227.986359
134,635.000000,-31.397198,-249.024305,635.000000,-21.068337,-230.805379
135,640.000000,-31.521654,-251.300753,640.000000,-21.214326,-231.634773
136,645.000000,-31.702330,-251.618404,645.000000,-21.224438,-232.020153
137,650.000000,-31.515418,-251.974159,650.000000,-21.405597,-232.307488
138,655.000000,-31.688921,-252.478515,655.000000,-21.456350,-233.347850
139,660.000000,-32.026848,-252.563409,660.000000,-21.996944,-234.669389
140,665.000000,-32.273864,-254.257103,665.000000,-21.898976,-236.294695
141,670.000000,-32.946546,-254.609865,670.000000,-22.632412,-236.654089
