"Frequency Response"
""
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,10.000000,0.295456,-3.216628,10.000000,23.804842,-122.810807
1,15.000000,0.699206,-4.464851,15.000000,19.362113,-138.132837
2,20.000000,1.135940,-7.388596,20.000000,15.287263,-139.016261
3,25.000000,1.479102,-11.106775,25.000000,12.509485,-136.693534
4,30.000000,1.671294,-15.568848,30.000000,10.401216,-132.837578
5,35.000000,2.078853,-19.690654,35.000000,8.621347,-134.306378
6,40.000000,2.321989,-25.810288,40.000000,6.824734,-133.015414
7,45.000000,2.346647,-33.808426,45.000000,5.028250,-130.740621
8,50.000000,1.960144,-42.743402,50.000000,3.328290,-127.391667
9,55.000000,0.990331,-52.383707,55.000000,1.506418,-122.795694
10,60.000000,-1.442439,-60.813185,60.000000,-0.942715,-112.371494
11,65.000000,-4.273534,-47.143634,65.000000,-1.614386,-84.640975
12,70.000000,-1.493625,-28.896469,70.000000,4.802526,-86.036491
13,75.000000,0.976628,-34.665162,75.000000,4.833665,-117.533711
14,80.000000,1.418546,-44.904421,80.000000,2.854830,-123.606036
15,85.000000,0.981004,-56.677714,85.000000,0.880689,-124.310105
16,90.000000,-0.554460,-65.292434,90.000000,-0.952038,-119.795118
17,95.000000,-3.050180,-60.075087,95.000000,-2.043790,-103.308048
18,100.000000,-2.649117,-44.962403,100.000000,0.359294,-92.395336
19,105.000000,-0.311239,-39.398370,105.000000,3.256820,-106.834763
20,110.000000,1.283665,-39.685002,110.000000,3.804633,-121.394581
21,115.000000,3.106285,-41.911608,115.000000,3.485161,-135.752003
22,120.000000,3.989118,-50.263294,120.000000,2.281170,-140.822998
23,125.000000,4.221584,-58.061615,125.000000,1.381327,-142.271087
24,130.000000,4.510100,-63.459376,130.000000,0.849772,-144.057213
25,135.000000,5.209069,-68.751208,135.000000,0.440942,-147.432653
26,140.000000,5.689362,-75.901465,140.000000,-0.072162,-150.025043
27,145.000000,5.667892,-85.167972,145.000000,-0.731407,-151.512471
28,150.000000,5.649113,-93.943481,150.000000,-1.284326,-153.316995
