Frequency Response - Position,,,,,,
Axis-2: 1 - 400Hz,,,,,,
Index,Frequency,Gain,Phase,Frequency,Gain,Phase
,Hz,dB,deg,Hz,dB,deg
0,1,-0.102436,-12.1961,1,10.188128,-104.74525
1,2,-0.54066,-23.855541,2,9.712276,-97.960842
2,3,-1.231478,-33.839113,3,9.952979,-90.763301
3,4,-2.400297,-41.081144,4,9.834002,-87.313559
4,5,-3.008564,-48.350112,5,10.248586,-91.639047
5,6,-3.971104,-53.699295,6,10.03446,-97.764048
6,7,-4.578103,-58.79877,7,9.778724,-104.09244
7,8,-5.457812,-64.167258,8,9.261108,-109.274005
8,9,-5.941843,-65.467663,9,8.804094,-110.433681
9,10,-6.702073,-69.33674,10,8.389281,-114.578426
10,11,-5.90148,-66.252569,11,7.889278,-115.237943
11,12,-7.922302,-65.095963,12,8.35773,-104.665394
12,13,-8.744508,-73.816268,13,6.7471,-102.878003
13,14,-6.11785,-93.447978,14,9.685409,-95.458391
14,15,-8.955291,-78.630888,15,4.229026,-124.77065
15,16,-9.047377,-77.819071,16,4.099415,-124.860542
16,17,-9.718659,-73.474652,17,4.5681,-124.440688
17,18,-8.640276,-68.966111,18,4.226219,-115.872259
18,19,-6.936523,-73.275907,19,5.867779,-118.648105
19,20,-10.055899,-89.000845,20,-0.003948,-125.172347
20,21,-10.169153,-89.39296,21,0.175745,-126.986413
21,22,-10.908919,-86.010858,22,-0.166537,-121.359635
22,23,-9.491653,-87.054652,23,-0.164974,-123.129598
23,24,-10.154552,-96.784584,24,-0.103065,-132.898011
24,25,-11.65336,-96.014084,25,-2.113144,-120.216487
25,26,-11.190634,-97.023377,26,-2.074535,-123.566086
26,27,-10.870795,-96.555748,27,-2.694523,-121.243841
27,28,-11.521018,-93.407342,28,-2.403173,-123.82004
28,29,-10.586353,-88.46696,29,-1.203153,-123.185684
29,30,-10.267824,-100.903062,30,-5.964785,-121.660417
30,31,-11.163037,-103.354177,31,-5.531069,-117.190655
31,32,-10.776562,-103.996399,32,-5.415108,-122.306406
32,33,-10.962224,-103.438027,33,-5.566804,-121.496299
33,34,-11.903514,-104.822682,34,-6.269231,-118.280525
34,35,-8.890812,-144.539995,35,-11.826038,-100.202408
35,36,-8.369875,-168.238869,36,-12.993497,-105.422036
36,37,-9.286604,-177.248409,37,-12.418365,-113.025771
37,38,-9.292634,-178.318108,38,-12.122674,-108.300324
38,39,-9.572402,-176.833425,39,-12.746571,-106.046133
39,40,-14.145739,-121.944734,40,-4.185609,-67.362835
40,41,-12.818324,-153.390103,41,-11.187201,-99.925205
41,42,-13.150053,-154.821934,42,-10.050376,-92.905303
42,43,-12.837545,-156.299818,43,-10.482166,-91.495497
43,44,-12.807536,-157.272108,44,-10.249033,-91.502162
44,45,-20.409787,-104.661906,45,-0.999633,-79.142593
45,46,-18.201747,-136.047575,46,-3.503756,-86.380495
46,47,-18.357006,-144.883454,47,-2.900264,-91.365487
47,48,-18.932699,-145.527613,48,-3.093347,-91.992173
48,50,-18.977615,-118.657481,50,-4.901724,-110.627908
49,51,-18.479752,-126.049207,51,-5.22586,-105.535293
50,52,-18.702755,-125.5188,52,-5.66403,-115.078624
