"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-0.105259,-12.136301
1,2.000000,-0.390606,-13.576600
2,3.000000,-0.842812,-12.858059
3,4.000000,-1.031530,-11.379168
4,5.000000,-1.221439,-11.238995
5,6.000000,-1.304395,-10.657224
6,7.000000,-1.423809,-10.134886
7,8.000000,-1.412231,-9.517094
8,9.000000,-1.483134,-9.308288
9,10.000000,-1.491829,-9.154963
10,11.000000,-1.423031,-8.872534
11,12.000000,-1.665739,-9.010092
12,13.000000,-1.469763,-6.744174
13,14.000000,-1.008057,-14.961819
14,15.000000,-1.315030,-8.721317
15,16.000000,-1.288465,-8.755391
16,17.000000,-1.245997,-9.145327
17,18.000000,-1.201574,-10.271022
18,19.000000,-1.273092,-11.182907
19,20.000000,-1.005945,-9.525148
20,21.000000,-1.017785,-9.860217
21,22.000000,-1.114633,-10.179454
22,23.000000,-0.982324,-10.092311
23,24.000000,-1.308323,-9.800711
24,25.000000,-0.699518,-10.835770
25,26.000000,-0.734944,-11.173281
26,27.000000,-0.758836,-11.244561
27,28.000000,-0.637479,-10.208211
28,29.000000,-0.435302,-11.355645
29,30.000000,-0.302142,-13.625589
30,31.000000,-0.494822,-14.271513
31,32.000000,-0.289845,-13.034575
32,33.000000,-0.293621,-13.795781
33,34.000000,-0.122312,-14.330600
34,35.000000,-0.069142,-14.034593
35,36.000000,0.105421,-15.473537
36,37.000000,0.052198,-13.596850
37,38.000000,-0.017282,-14.233154
38,39.000000,-0.132065,-15.075526
39,40.000000,0.466188,-15.927131
40,41.000000,0.645144,-18.558837
41,42.000000,0.563974,-17.399639
42,43.000000,0.458618,-17.526980
43,44.000000,0.457337,-17.444396
44,45.000000,1.218812,-23.554447
45,46.000000,1.323340,-22.593710
46,47.000000,0.852973,-22.412728
47,48.000000,0.993206,-22.735258
48,50.000000,0.779758,-23.635641
49,51.000000,1.255532,-22.975078
50,52.000000,1.230439,-22.902516
51,53.000000,1.232700,-23.146017
52,54.000000,1.122455,-24.211971
53,56.000000,-0.142618,-22.854875
54,57.000000,0.491724,-22.104143
55,58.000000,0.458603,-19.785392
56,60.000000,2.522917,-29.561073
57,61.000000,2.000770,-27.447460
58,63.000000,2.134089,-27.357333
59,64.000000,2.294423,-28.067562
60,66.000000,2.390383,-39.446614
61,67.000000,1.574602,-35.582401
62,69.000000,2.142931,-32.267345
63,70.000000,3.339424,-42.366304
64,72.000000,3.393568,-40.771454
65,74.000000,3.448613,-39.865124
66,75.000000,2.474415,-47.297885
67,77.000000,2.882362,-46.614735
68,79.000000,2.298918,-47.205239
69,81.000000,5.255225,-44.185960
70,83.000000,4.302728,-49.240190
71,85.000000,6.393464,-60.913512
72,87.000000,6.001203,-65.209930
73,89.000000,6.222244,-64.499051
74,91.000000,6.213954,-85.757728
75,93.000000,5.833082,-87.285557
76,95.000000,5.260235,-99.555098
77,97.000000,5.138130,-100.159558
78,100.000000,2.295648,-111.619385
79,102.000000,3.790369,-115.099533
80,104.000000,2.463474,-110.660067
81,107.000000,0.568160,-119.317913
82,109.000000,0.691707,-114.708444
83,112.000000,-4.560482,-104.512761
84,114.000000,-4.758168,-105.111589
85,117.000000,-2.009250,-83.671184
86,120.000000,1.062034,-61.076534
87,123.000000,0.719073,-58.717585
88,125.000000,3.953595,-85.461873
89,128.000000,3.704112,-81.855390
90,131.000000,5.120996,-99.180100
91,134.000000,5.503833,-108.159577
92,138.000000,3.013446,-119.839649
93,141.000000,2.453376,-129.462752
94,144.000000,2.426772,-128.218536
95,147.000000,1.721690,-133.310618
96,151.000000,1.478485,-141.538312
97,154.000000,0.938031,-139.751679
98,158.000000,0.595646,-145.782329
99,162.000000,-0.306033,-151.062619
100,165.000000,-0.504863,-153.984341
101,169.000000,-0.668729,-154.096488
102,173.000000,-0.935073,-160.618547
103,177.000000,-1.554622,-165.309852
104,181.000000,-2.255191,-170.587732
105,186.000000,-2.834712,-175.503453
106,190.000000,-3.399658,-180.306456
107,194.000000,-3.432739,-180.429324
