"Frequency Response"
"Axis-2: 1 - 1000Hz"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,-0.025308,-15.896984,1.000000,10.188128,-104.745250
1,2.000000,-0.464851,-16.819249,2.000000,9.712276,-97.960842
2,3.000000,-1.003159,-15.807711,3.000000,9.952979,-90.763301
3,4.000000,-1.216691,-13.920882,4.000000,9.834002,-87.313559
4,5.000000,-1.441109,-13.621399,5.000000,10.248586,-91.639047
5,6.000000,-1.528726,-12.854747,6.000000,10.034460,-97.764048
6,7.000000,-1.656952,-12.084235,7.000000,9.778724,-104.092440
7,8.000000,-1.645375,-11.330364,8.000000,9.261108,-109.274005
8,9.000000,-1.721684,-11.035203,9.000000,8.804094,-110.433681
9,10.000000,-1.746364,-10.523967,10.000000,8.389281,-114.578426
10,11.000000,-1.783082,-10.162640,11.000000,7.889278,-115.237943
11,12.000000,-1.408451,-10.086772,12.000000,8.357730,-104.665394
12,13.000000,-1.587354,-13.897635,13.000000,6.747100,-102.878003
13,14.000000,-1.207122,-11.952458,14.000000,9.685409,-95.458391
14,15.000000,-1.664973,-9.768739,15.000000,4.229026,-124.770650
15,16.000000,-1.657336,-9.588195,16.000000,4.099415,-124.860542
16,17.000000,-1.619437,-9.834426,17.000000,4.568100,-124.440688
17,18.000000,-1.557266,-8.450633,18.000000,4.226219,-115.872259
18,19.000000,-1.312854,-9.073106,19.000000,5.867779,-118.648105
19,20.000000,-1.431802,-11.088062,20.000000,-0.003948,-125.172347
20,21.000000,-1.453842,-11.098633,21.000000,0.175745,-126.986413
21,22.000000,-1.277980,-10.307327,22.000000,-0.166537,-121.359635
22,23.000000,-1.482773,-9.990723,23.000000,-0.164974,-123.129598
23,24.000000,-1.185250,-10.405713,24.000000,-0.103065,-132.898011
24,25.000000,-1.256635,-11.967237,25.000000,-2.113144,-120.216487
25,26.000000,-1.196381,-12.434951,26.000000,-2.074535,-123.566086
26,27.000000,-1.287675,-11.871944,27.000000,-2.694523,-121.243841
27,28.000000,-1.142857,-11.575022,28.000000,-2.403173,-123.820040
28,29.000000,-1.026470,-13.265762,29.000000,-1.203153,-123.185684
29,30.000000,-0.750209,-17.594679,30.000000,-5.964785,-121.660417
30,31.000000,-0.970163,-16.702898,31.000000,-5.531069,-117.190655
31,32.000000,-0.662817,-16.357855,32.000000,-5.415108,-122.306406
32,33.000000,-0.707774,-16.925972,33.000000,-5.566804,-121.496299
33,34.000000,-0.773106,-14.605855,34.000000,-6.269231,-118.280525
34,35.000000,-1.707591,-32.261445,35.000000,-11.826038,-100.202408
35,36.000000,-0.418029,-35.829886,36.000000,-12.993497,-105.422036
36,37.000000,-0.602151,-33.147140,37.000000,-12.418365,-113.025771
37,38.000000,-0.760971,-34.183558,38.000000,-12.122674,-108.300324
38,39.000000,-1.032324,-35.648344,39.000000,-12.746571,-106.046133
39,40.000000,-3.077220,-4.462543,40.000000,-4.185609,-67.362835
40,41.000000,-1.225851,-21.089122,41.000000,-11.187201,-99.925205
41,42.000000,-1.275283,-20.374639,42.000000,-10.050376,-92.905303
42,43.000000,-1.182133,-20.539338,43.000000,-10.482166,-91.495497
43,44.000000,-1.210212,-21.096991,44.000000,-10.249033,-91.502162
44,45.000000,-2.449443,3.570198,45.000000,-0.999633,-79.142593
45,46.000000,-1.881058,-8.269612,46.000000,-3.503756,-86.380495
46,47.000000,-1.674463,-8.496957,47.000000,-2.900264,-91.365487
47,48.000000,-1.594661,-8.736593,48.000000,-3.093347,-91.992173
48,50.000000,-0.786310,-13.234408,50.000000,-4.901724,-110.627908
49,51.000000,-0.538461,-14.563165,51.000000,-5.225860,-105.535293
50,52.000000,-1.026282,-14.531142,52.000000,-5.664030,-115.078624
51,53.000000,-0.917838,-16.340916,53.000000,-4.885361,-111.424005
52,54.000000,-0.932031,-14.094409,54.000000,-6.150788,-108.782962
53,56.000000,-0.650791,-21.377579,56.000000,-7.308192,-111.120906
54,57.000000,-0.270206,-20.093215,57.000000,-7.554593,-114.867994
55,58.000000,-0.307513,-19.375783,58.000000,-8.196091,-114.554353
56,60.000000,-0.710501,-24.776237,60.000000,-8.763562,-97.769115
57,61.000000,-1.358229,-23.290488,61.000000,-8.895723,-101.758330
58,63.000000,-1.177461,-22.492348,63.000000,-8.841216,-105.566427
59,64.000000,-1.242066,-21.151331,64.000000,-8.591078,-105.454181
60,66.000000,-0.035999,-32.448657,66.000000,-11.087868,-112.399944
61,67.000000,-0.587144,-32.509097,67.000000,-11.114319,-107.857821
62,69.000000,-0.486362,-27.030307,69.000000,-9.846109,-105.465751
63,70.000000,-3.991819,-28.486016,70.000000,-10.790558,-73.077637
64,72.000000,-4.206755,-18.169008,72.000000,-11.231585,-64.699696
65,74.000000,-4.156302,-18.458309,74.000000,-11.566852,-66.772151
66,75.000000,0.155853,-22.705896,75.000000,-6.709994,-103.886392
67,77.000000,-0.132952,-21.021700,77.000000,-7.967730,-110.512954
68,79.000000,-0.030273,-21.114441,79.000000,-7.739753,-111.906180
69,81.000000,-0.358117,-30.146176,81.000000,-9.532975,-93.351132
70,83.000000,-0.232085,-31.733168,83.000000,-9.648628,-104.439721
