"Frequency Response"
"MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.007318,0.039794,1.000000,59.240252,-219.482090
1,2.000000,0.015225,0.130376,2.000000,50.842858,-232.326988
2,3.000000,0.036701,0.021804,3.000000,47.465985,-185.135457
3,4.000000,0.086740,0.023361,4.000000,40.048030,-182.326342
4,5.000000,0.112682,0.047050,5.000000,37.778090,-183.598413
5,6.000000,0.192927,-0.023389,6.000000,33.163234,-178.958777
6,7.000000,0.217950,-0.128963,7.000000,32.083081,-174.938421
7,8.000000,0.263996,-0.375667,8.000000,30.278471,-168.013400
8,9.000000,0.337402,-0.519415,9.000000,28.151202,-167.121621
9,10.000000,0.427693,-0.963565,10.000000,25.887557,-161.620769
10,15.000000,0.708408,-2.950709,15.000000,20.666063,-149.185190
11,20.000000,1.026947,-5.445081,20.000000,16.892458,-143.876590
12,25.000000,1.321674,-8.436969,25.000000,14.143925,-140.051067
13,30.000000,1.592696,-11.891518,30.000000,11.951886,-137.224444
14,35.000000,1.846085,-15.436257,35.000000,10.223088,-135.714259
15,40.000000,2.274050,-19.657217,40.000000,8.453756,-136.746945
16,45.000000,2.600588,-25.449328,45.000000,6.761259,-136.071199
17,50.000000,2.667521,-32.257345,50.000000,5.272730,-133.912131
18,55.000000,2.118199,-35.115670,55.000000,4.787680,-128.538042
19,60.000000,2.418707,-35.104438,60.000000,4.756760,-131.175132
20,65.000000,3.909228,-41.602537,65.000000,3.439188,-141.024810
21,70.000000,2.850447,-51.486353,70.000000,2.063790,-134.380648
22,75.000000,3.273514,-54.639670,75.000000,1.696700,-137.145383
23,80.000000,3.197930,-63.551341,80.000000,0.642740,-138.152284
24,85.000000,3.709016,-62.618872,85.000000,0.832518,-140.384333
25,90.000000,4.454670,-82.802778,90.000000,-0.822467,-147.289774
26,95.000000,2.690682,-97.350793,95.000000,-2.370175,-146.370129
27,100.000000,0.879296,-108.441678,100.000000,-3.781217,-146.308149
28,105.000000,-1.624194,-114.983476,105.000000,-5.405693,-144.091819
29,110.000000,-5.256677,-106.038831,110.000000,-7.297248,-130.548920
30,115.000000,-5.322942,-77.217304,115.000000,-5.550555,-108.196214
31,120.000000,-2.895064,-66.494165,120.000000,-2.634941,-109.109016
32,125.000000,-0.368498,-76.222579,125.000000,-2.018367,-126.562492
33,130.000000,0.056850,-86.204685,130.000000,-2.684549,-133.302695
34,135.000000,1.112252,-97.482365,135.000000,-3.017241,-141.951563
35,140.000000,-0.435580,-112.363108,140.000000,-4.632330,-145.219433
36,145.000000,-0.759658,-114.466054,145.000000,-4.906833,-145.621830
37,150.000000,-2.095369,-119.683706,150.000000,-5.889119,-145.852152
38,155.000000,-2.178246,-121.868222,155.000000,-6.029493,-146.968117
39,160.000000,-2.899769,-124.638423,160.000000,-6.567763,-147.360566
40,165.000000,-3.156483,-127.295235,165.000000,-6.822678,-148.559889
41,170.000000,-3.501045,-130.715654,170.000000,-7.152929,-150.145823
42,175.000000,-3.739370,-133.550567,175.000000,-7.391753,-151.577515
43,180.000000,-4.139959,-136.679704,180.000000,-7.736204,-153.032694
44,185.000000,-4.577423,-140.457849,185.000000,-8.116756,-154.939449
45,190.000000,-4.985329,-143.657036,190.000000,-8.458128,-156.589599
46,195.000000,-5.515675,-146.963206,195.000000,-8.878913,-158.275222
47,200.000000,-5.975834,-150.085108,200.000000,-9.247044,-159.988542
48,205.000000,-6.531313,-153.885701,205.000000,-9.688724,-162.180739
49,210.000000,-7.200460,-157.040459,210.000000,-10.198482,-163.965322
50,215.000000,-7.750933,-160.776036,215.000000,-10.632377,-166.331568
51,220.000000,-8.447025,-163.853463,220.000000,-11.164113,-168.264484
52,225.000000,-9.693152,-167.465741,225.000000,-12.115840,-170.549261
53,230.000000,-10.614102,-170.652747,230.000000,-12.836776,-172.776072
54,235.000000,-11.425300,-171.421230,235.000000,-13.473982,-173.233297
55,240.000000,-12.778696,-172.527708,240.000000,-14.563104,-173.921217
56,245.000000,-13.950678,-172.200241,245.000000,-15.527897,-173.501553
57,250.000000,-15.750173,-167.717147,250.000000,-17.038579,-169.431513
58,255.000000,-16.257592,-162.397898,255.000000,-17.453387,-164.721497
59,260.000000,-17.407570,-151.809213,260.000000,-18.396594,-155.066418
60,265.000000,-17.410144,-136.792052,265.000000,-18.254369,-141.593588
61,270.000000,-17.123263,-133.570516,270.000000,-17.956023,-138.830520
62,275.000000,-14.613626,-119.300049,275.000000,-15.464869,-127.752964
63,280.000000,-13.184064,-121.707690,280.000000,-14.250842,-131.199874
64,285.000000,-11.778378,-125.386564,285.000000,-13.129193,-135.745849
65,290.000000,-10.456419,-132.180229,290.000000,-12.196890,-142.664639
66,295.000000,-9.342604,-142.692712,295.000000,-11.540930,-151.928959
67,300.000000,-11.578339,-152.046483,300.000000,-13.440462,-157.771390
68,305.000000,-10.661477,-159.239143,305.000000,-12.793721,-163.900293
69,310.000000,-9.978136,-169.762397,310.000000,-12.344667,-172.221547
70,315.000000,-10.362815,-185.127227,315.000000,-12.657432,-183.934716
71,320.000000,-12.817295,-207.474670,320.000000,-14.454757,-202.463083
72,325.000000,-18.907226,-226.750687,325.000000,-19.582650,-222.367689
73,330.000000,-27.950295,-174.277302,330.000000,-28.289687,-174.497288
74,335.000000,-23.442793,-122.782665,335.000000,-23.766481,-125.906374
75,340.000000,-19.454313,-118.736864,340.000000,-19.922117,-123.812657
76,345.000000,-17.698486,-117.760864,345.000000,-18.261465,-123.966592
77,350.000000,-16.228641,-120.598932,350.000000,-16.951099,-127.622109
78,355.000000,-14.907167,-122.321386,355.000000,-15.786780,-130.210816
79,360.000000,-14.542638,-129.518330,360.000000,-15.593253,-136.879501
80,365.000000,-14.134257,-133.049074,365.000000,-15.296427,-140.263968
81,370.000000,-13.899437,-136.483513,370.000000,-15.149356,-143.396294
82,375.000000,-13.629181,-142.277360,375.000000,-15.005158,-148.519908
83,380.000000,-13.715409,-148.035141,380.000000,-15.152826,-153.342589
84,385.000000,-13.769521,-151.428145,385.000000,-15.236566,-156.175546
85,390.000000,-13.551419,-155.418324,390.000000,-15.093413,-159.615172
86,395.000000,-13.766981,-160.030520,395.000000,-15.312019,-163.389334
87,400.000000,-13.963376,-163.564508,400.000000,-15.500037,-166.287033
88,405.000000,-13.906042,-167.112302,405.000000,-15.471267,-169.265311
89,410.000000,-14.293076,-171.100814,410.000000,-15.811004,-172.536627
90,415.000000,-14.487918,-174.127064,415.000000,-15.982739,-175.058122
91,420.000000,-14.610653,-176.374920,420.000000,-16.089905,-176.943170
92,425.000000,-14.930275,-179.631963,425.000000,-16.362452,-179.687909
93,430.000000,-15.286957,-181.814256,430.000000,-16.665327,-181.547962
94,435.000000,-15.549984,-184.358404,435.000000,-16.887704,-183.735341
95,440.000000,-15.832627,-185.916203,440.000000,-17.128013,-185.094177
96,445.000000,-16.103708,-187.959757,445.000000,-17.357626,-186.884168
97,450.000000,-16.299045,-189.664927,450.000000,-17.522357,-188.385382
98,455.000000,-16.579500,-191.080249,455.000000,-17.762063,-189.655361
99,460.000000,-16.973252,-192.514796,460.000000,-18.101720,-190.969785
100,465.000000,-17.117396,-192.843425,465.000000,-18.227204,-191.281244
101,470.000000,-17.292530,-195.430420,470.000000,-18.371270,-193.591231
102,475.000000,-17.701756,-194.605967,475.000000,-18.736834,-192.934737
103,480.000000,-17.942939,-198.933104,480.000000,-18.932114,-196.830387
104,485.000000,-17.884899,-197.955532,485.000000,-18.885129,-195.946907
105,490.000000,-18.386291,-196.806670,490.000000,-19.338144,-195.018541
106,495.000000,-18.826892,-197.570363,495.000000,-19.730679,-195.785978
107,500.000000,-19.050522,-199.692420,500.000000,-19.923002,-197.744153
108,505.000000,-19.224712,-199.760214,505.000000,-20.080296,-197.840598
109,510.000000,-19.303824,-199.440222,510.000000,-20.153428,-197.566340
110,515.000000,-19.158714,-201.351607,515.000000,-20.012885,-199.268157
111,520.000000,-19.314625,-204.909506,520.000000,-20.135285,-202.532900
112,525.000000,-20.066450,-204.123380,525.000000,-20.825533,-201.993507
113,530.000000,-19.760723,-204.194678,530.000000,-20.545630,-201.988904
114,535.000000,-20.343805,-206.207328,535.000000,-21.068934,-203.969454
115,540.000000,-19.892056,-206.351363,540.000000,-20.653763,-203.991876
116,545.000000,-20.519640,-206.803322,545.000000,-21.227471,-204.559602
117,550.000000,-20.473393,-208.105937,550.000000,-21.177560,-205.748266
118,555.000000,-20.490319,-209.139558,555.000000,-21.187117,-206.705272
119,560.000000,-20.752852,-210.182647,560.000000,-21.423337,-207.736701
120,565.000000,-20.912474,-210.810015,565.000000,-21.567335,-208.359135
121,570.000000,-21.167387,-212.621458,570.000000,-21.792864,-210.107969
122,575.000000,-21.254016,-212.935485,575.000000,-21.871491,-210.423355
123,580.000000,-21.341349,-214.784825,580.000000,-21.941139,-212.169840
124,585.000000,-21.523231,-215.644356,585.000000,-22.105321,-213.023205
125,590.000000,-21.507552,-217.086977,590.000000,-22.081132,-214.366998
126,595.000000,-22.023875,-217.606979,595.000000,-22.561516,-215.002635
127,600.000000,-21.820979,-218.612833,600.000000,-22.364407,-215.888322
128,605.000000,-21.891657,-220.540249,605.000000,-22.417497,-217.719759
129,610.000000,-22.307514,-220.999205,610.000000,-22.805920,-218.276967
130,615.000000,-22.361269,-222.199519,615.000000,-22.848408,-219.425838
131,620.000000,-22.609553,-224.408994,620.000000,-23.067788,-221.591474
132,625.000000,-22.401360,-224.873517,625.000000,-22.867292,-221.966360
133,630.000000,-23.256181,-225.743367,630.000000,-23.672729,-223.053735
134,635.000000,-22.754008,-227.199353,635.000000,-23.184761,-224.284588
135,640.000000,-23.275951,-228.276678,640.000000,-23.674013,-225.474164
136,645.000000,-23.518366,-229.527214,645.000000,-23.896722,-226.743151
137,650.000000,-23.535819,-231.758404,650.000000,-23.897426,-228.884127
138,655.000000,-23.678759,-231.523139,655.000000,-24.036102,-228.703610
139,660.000000,-24.218459,-232.454133,660.000000,-24.547773,-229.762019
140,665.000000,-24.425496,-232.677043,665.000000,-24.745486,-230.037705
141,670.000000,-24.508879,-236.174749,670.000000,-24.801863,-233.435322
142,675.000000,-24.794479,-236.440604,675.000000,-25.076028,-233.778128
