"Frequency Response - Position"
"Axis-1: 1 - 200Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.374557,-11.405791
1,2.000000,0.313455,-22.296141
2,3.000000,-0.089017,-32.780529
3,4.000000,-0.674218,-42.843042
4,5.000000,-1.362238,-51.833755
5,6.000000,-2.143027,-59.948518
6,7.000000,-2.997059,-66.284371
7,8.000000,-3.404486,-71.776071
8,9.000000,-3.830789,-76.977769
9,10.000000,-4.157908,-81.445651
10,15.000000,-6.650878,-108.333073
11,20.000000,-11.013829,-124.894556
12,25.000000,-17.425339,-127.688529
13,30.000000,-20.978207,-124.946548
14,35.000000,-22.384355,-123.262370
15,40.000000,-23.027488,-130.978565
16,45.000000,-23.240521,-142.772793
17,50.000000,-23.356201,-154.741733
18,55.000000,-24.529777,-168.496179
19,60.000000,-26.643319,-183.901505
20,65.000000,-29.910443,-195.340813
21,70.000000,-36.355934,-189.633113
22,75.000000,-36.266731,-156.927513
23,80.000000,-34.541395,-150.133247
24,85.000000,-32.258811,-172.288554
25,90.000000,-33.747218,-196.820023
26,95.000000,-39.155205,-199.916248
27,100.000000,-39.227420,-185.515484
28,105.000000,-42.763965,-180.626203
29,110.000000,-40.438997,-153.357674
30,115.000000,-40.164151,-169.950002
31,120.000000,-37.137413,-175.264081
32,125.000000,-36.176383,-182.388213
33,130.000000,-34.950341,-183.006301
34,135.000000,-34.677772,-209.839541
35,140.000000,-35.751633,-239.567064
36,145.000000,-39.843844,-249.662209
37,150.000000,-39.489871,-252.788057
38,155.000000,-42.776619,-253.370106
39,160.000000,-42.722365,-257.776134
40,165.000000,-43.193969,-249.470285
41,170.000000,-43.460418,-253.210261
42,175.000000,-42.501137,-261.799059
43,180.000000,-43.230695,-254.291697
44,185.000000,-42.701929,-271.429964
45,190.000000,-42.894048,-269.442059
46,195.000000,-45.043951,-262.665266
47,200.000000,-43.958220,-289.339520
