"Frequency Response"
"Axis-1: 10 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,10.000000,0.911018,-7.597177
1,15.000000,2.023407,-13.525229
2,20.000000,2.844362,-25.165644
3,25.000000,2.875910,-39.724101
4,30.000000,2.240837,-53.420981
5,35.000000,1.647077,-66.551661
6,40.000000,0.355304,-78.788796
7,45.000000,-1.128554,-88.944412
8,50.000000,-2.810410,-96.456395
9,55.000000,-4.687088,-103.160254
10,60.000000,-6.884340,-105.341673
11,65.000000,-8.977435,-102.846402
12,70.000000,-11.191487,-85.321677
13,75.000000,-8.177218,-82.545302
14,80.000000,-7.557868,-96.298591
15,85.000000,-8.767777,-106.813099
16,90.000000,-11.985775,-105.390946
17,95.000000,-14.192259,-80.321695
18,100.000000,-11.505014,-58.733164
19,105.000000,-7.321074,-59.178307
20,110.000000,-4.703107,-70.681449
21,115.000000,-2.980475,-83.341499
22,120.000000,-1.737346,-101.606200
23,125.000000,-2.424591,-123.812069
24,130.000000,-4.451458,-136.448283
25,135.000000,-5.699706,-140.297965
26,140.000000,-6.882994,-144.893285
27,145.000000,-7.735673,-149.555314
28,150.000000,-8.641388,-152.615972
29,155.000000,-9.372547,-156.860151
30,160.000000,-10.227553,-158.929352
31,165.000000,-11.056595,-161.959014
32,170.000000,-11.623858,-165.555832
33,175.000000,-12.447285,-167.031931
34,180.000000,-13.063234,-169.533174
35,185.000000,-13.687076,-171.694543
36,190.000000,-14.335805,-173.087119
37,195.000000,-14.883446,-175.783204
38,200.000000,-15.457422,-177.075132
39,205.000000,-16.193452,-178.899815
40,210.000000,-16.635198,-180.935630
41,215.000000,-17.249506,-181.842339
42,220.000000,-17.854282,-182.439498
43,225.000000,-18.350092,-183.017604
44,230.000000,-18.427369,-182.783318
45,235.000000,-18.634125,-184.029870
46,240.000000,-18.747083,-188.005128
47,245.000000,-19.092258,-192.595433
48,250.000000,-19.918900,-195.553024
49,255.000000,-20.572679,-196.882116
50,260.000000,-21.260981,-197.771868
51,265.000000,-21.685564,-199.539738
52,270.000000,-22.072419,-200.411505
53,275.000000,-22.795578,-200.926726
54,280.000000,-23.191145,-202.928076
55,285.000000,-23.577540,-204.025737
