"Frequency Response - Position"
"Axis-1: 1 - 400Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-0.079273,-12.321476
1,2.000000,-0.497057,-24.147190
2,3.000000,-1.244264,-34.459457
3,4.000000,-2.224845,-40.847414
4,5.000000,-2.954009,-49.235650
5,6.000000,-3.809458,-54.011628
6,7.000000,-4.688981,-58.902480
7,8.000000,-5.602853,-61.694561
8,9.000000,-6.121145,-67.136168
9,10.000000,-6.607143,-71.118429
10,11.000000,-6.411506,-64.633406
11,12.000000,-7.817671,-74.934181
12,13.000000,-8.358741,-60.561538
13,14.000000,-9.628821,-83.378795
14,15.000000,-8.993910,-81.472891
15,16.000000,-9.045331,-82.542380
16,17.000000,-9.397371,-88.223772
17,18.000000,-7.506980,-78.420100
18,19.000000,-10.841906,-73.585861
19,20.000000,-10.680947,-92.556376
20,21.000000,-10.428343,-89.662679
21,22.000000,-9.634422,-92.581069
22,23.000000,-10.029503,-94.092236
23,24.000000,-11.568382,-98.175171
24,25.000000,-11.714359,-101.034406
25,26.000000,-11.795884,-98.876540
26,27.000000,-11.503349,-97.549508
27,28.000000,-11.774171,-102.016812
28,29.000000,-12.732481,-97.095578
29,30.000000,-12.913442,-109.964789
30,31.000000,-12.342930,-115.919927
31,32.000000,-12.564004,-113.487700
32,33.000000,-12.500893,-114.896572
33,34.000000,-11.940098,-118.920301
34,35.000000,-13.596729,-116.879250
35,36.000000,-13.003786,-119.883745
36,37.000000,-13.169612,-115.902023
37,38.000000,-13.452201,-117.082629
38,39.000000,-13.303017,-119.181430
39,40.000000,-13.788164,-132.790098
40,41.000000,-13.334306,-127.573481
41,42.000000,-13.761557,-127.807936
42,43.000000,-13.682857,-129.169247
43,44.000000,-13.536086,-128.799598
44,45.000000,-14.094962,-149.992038
45,46.000000,-14.039211,-155.898617
46,47.000000,-14.593589,-155.581751
47,48.000000,-14.817887,-156.555157
48,50.000000,-14.404026,-157.566599
49,51.000000,-13.542040,-156.088578
50,52.000000,-14.431637,-155.648550
51,53.000000,-14.165426,-154.778212
52,54.000000,-13.934173,-155.448961
53,56.000000,-23.836569,-191.682545
54,57.000000,-22.273596,-168.732434
55,58.000000,-22.283247,-165.897410
56,60.000000,-18.042238,-166.295123
57,61.000000,-18.683581,-163.570338
58,63.000000,-18.945425,-161.402037
59,64.000000,-19.097270,-161.872435
60,66.000000,-17.571211,-177.244390
61,67.000000,-19.048905,-181.944145
62,69.000000,-18.912675,-181.569779
63,70.000000,-16.831586,-178.872976
64,72.000000,-17.080636,-179.406568
65,74.000000,-16.990209,-178.577821
66,75.000000,-17.959865,-223.771096
67,77.000000,-17.968486,-227.039820
68,79.000000,-17.879326,-226.368160
69,81.000000,-26.278517,-195.717541
70,83.000000,-26.273391,-203.589587
71,85.000000,-22.383661,-197.526867
72,87.000000,-22.886408,-196.322361
73,89.000000,-23.042253,-195.875724
74,91.000000,-20.973597,-202.007701
75,93.000000,-21.387859,-200.920289
76,95.000000,-20.165543,-203.846206
77,97.000000,-20.230113,-204.222069
78,100.000000,-17.669898,-217.511669
79,102.000000,-17.170473,-213.362772
80,104.000000,-17.950270,-210.286950
81,107.000000,-14.910031,-230.546651
82,109.000000,-15.461400,-226.818189
83,112.000000,-12.942856,-265.164948
84,114.000000,-13.537794,-270.889683
85,117.000000,-13.348262,-291.150764
86,120.000000,-15.869829,-332.748787
87,123.000000,-15.512238,-332.236956
88,125.000000,-19.817586,-349.959705
89,128.000000,-19.305350,-350.177188
90,131.000000,-22.167251,-367.588152
91,134.000000,-21.991943,-363.979422
92,138.000000,-25.185899,-373.705383
93,141.000000,-27.226643,-375.722424
94,144.000000,-26.981224,-375.038980
95,147.000000,-30.227293,-387.803800
96,151.000000,-30.233889,-386.032071
97,154.000000,-30.924354,-382.816898
98,158.000000,-29.551174,-400.499486
99,162.000000,-32.622092,-392.976674
100,165.000000,-34.182173,-411.789879
101,169.000000,-34.827397,-411.215085
102,173.000000,-35.138323,-415.398705
103,177.000000,-36.219171,-424.585908
104,181.000000,-37.577199,-428.214598
105,186.000000,-38.067774,-422.878312
106,190.000000,-39.058513,-439.470895
107,194.000000,-39.027191,-446.665767
108,199.000000,-44.593446,-423.573585
109,204.000000,-43.192503,-444.057409
110,208.000000,-42.794925,-452.232588
111,213.000000,-46.451452,-430.815274
112,218.000000,-48.762740,-445.237715
113,223.000000,-50.512737,-443.571231
114,229.000000,-56.190943,-365.872314
115,234.000000,-40.519009,-430.745642
116,239.000000,-47.097526,-460.118498
117,245.000000,-54.067720,-477.665304
118,251.000000,-53.771798,-444.329810
119,257.000000,-57.597414,-384.604028
120,263.000000,-47.602493,-340.528125
121,269.000000,-40.995680,-385.151667
122,275.000000,-39.827194,-413.272026
123,281.000000,-37.648888,-443.840379
124,288.000000,-38.708882,-480.930154
125,295.000000,-38.497953,-506.979844
126,301.000000,-38.788332,-528.255509
127,309.000000,-39.422515,-535.702752
128,316.000000,-40.005676,-552.328711
129,323.000000,-35.081647,-574.038854
130,331.000000,-40.832485,-643.184175
131,338.000000,-44.437886,-632.704470
132,346.000000,-44.523676,-684.406627
133,354.000000,-48.533845,-659.732145
134,363.000000,-57.580736,-664.399433
135,371.000000,-57.042532,-657.903577
136,380.000000,-50.919709,-653.833890
137,389.000000,-50.203200,-704.466039
138,398.000000,-50.971843,-663.481445
139,400.000000,-52.883613,-700.646804
