"Frequency Response - Position"
"Axis-1: 1 - 500Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-0.018082,-9.360642
1,2.000000,-0.283312,-18.628095
2,3.000000,-0.788370,-26.783237
3,4.000000,-1.173545,-35.343498
4,5.000000,-1.961952,-40.435830
5,6.000000,-2.744772,-45.952852
6,7.000000,-3.240061,-50.693641
7,8.000000,-3.714484,-55.314975
8,9.000000,-4.657315,-57.257496
9,10.000000,-5.284887,-59.706792
10,11.000000,-4.520908,-60.604110
11,12.000000,-6.556888,-62.065110
12,13.000000,-7.054925,-69.589518
13,14.000000,-2.407491,-75.539157
14,15.000000,-7.842936,-71.771279
15,16.000000,-7.803834,-72.624887
16,17.000000,-8.884055,-73.257555
17,18.000000,-9.268932,-68.835467
18,19.000000,-7.468973,-85.671249
19,20.000000,-9.997708,-80.091049
20,21.000000,-10.034506,-80.406202
21,22.000000,-10.502494,-76.512517
22,23.000000,-10.310400,-78.315217
23,24.000000,-11.134095,-76.935856
24,25.000000,-11.366028,-84.909997
25,26.000000,-11.033320,-84.544170
26,27.000000,-10.984524,-82.325567
27,28.000000,-11.206987,-83.983314
28,29.000000,-12.561590,-86.398987
29,30.000000,-12.842066,-86.310499
30,31.000000,-12.237456,-90.812359
31,32.000000,-12.771019,-89.610092
32,33.000000,-12.682226,-89.083335
33,34.000000,-12.815251,-97.414639
34,35.000000,-13.647150,-92.475001
35,36.000000,-14.362704,-94.899226
36,37.000000,-12.899999,-94.625914
37,38.000000,-13.913959,-91.900351
38,39.000000,-13.923461,-95.655038
39,40.000000,-13.857675,-98.996178
40,41.000000,-14.825156,-96.067089
41,42.000000,-14.917863,-97.690122
42,43.000000,-14.646255,-99.174792
43,44.000000,-14.586846,-99.397587
44,45.000000,-14.622041,-102.581126
45,46.000000,-15.880456,-104.431003
46,47.000000,-15.397147,-104.361696
47,48.000000,-15.605766,-103.719868
48,50.000000,-15.437131,-109.026604
49,51.000000,-15.394871,-108.845971
50,52.000000,-16.842918,-105.591089
51,53.000000,-16.515641,-108.363526
52,54.000000,-15.869171,-109.205433
53,56.000000,-15.969333,-106.935742
54,57.000000,-16.355013,-113.211227
55,58.000000,-17.151701,-108.352937
56,60.000000,-16.974799,-108.555748
57,61.000000,-16.353073,-113.991498
58,63.000000,-16.535992,-112.417349
59,64.000000,-16.711883,-112.333726
60,66.000000,-17.728251,-117.315835
61,67.000000,-17.315956,-121.582581
62,69.000000,-16.843330,-112.440583
63,70.000000,-17.156617,-118.447892
64,72.000000,-17.096674,-125.517157
65,74.000000,-16.956977,-122.518293
66,75.000000,-17.675291,-126.279944
67,77.000000,-17.673310,-127.609627
68,79.000000,-17.771194,-123.758004
69,81.000000,-18.557164,-131.510517
70,83.000000,-18.272680,-126.244068
71,85.000000,-18.258578,-137.281128
72,87.000000,-18.335701,-134.737242
73,89.000000,-18.285450,-136.150696
74,91.000000,-18.358003,-143.202942
75,93.000000,-17.979442,-141.293550
76,95.000000,-18.528396,-145.830782
77,97.000000,-18.420867,-144.621288
78,100.000000,-18.289159,-153.554839
79,102.000000,-18.965102,-151.316528
80,104.000000,-18.303294,-153.001426
81,107.000000,-18.563739,-158.435800
82,109.000000,-18.842675,-157.021807
83,112.000000,-18.698955,-162.965294
84,114.000000,-18.766480,-163.837567
85,117.000000,-18.937926,-169.888915
86,120.000000,-18.852379,-179.941640
87,123.000000,-18.552991,-179.933207
88,125.000000,-18.080644,-201.688971
89,128.000000,-18.015790,-201.649369
90,131.000000,-18.488574,-217.880587
91,134.000000,-18.612201,-219.242469
92,138.000000,-19.694150,-233.102379
93,141.000000,-20.046137,-250.542281
94,144.000000,-20.293851,-250.162341
95,147.000000,-20.119775,-268.034786
96,151.000000,-21.303525,-276.489704
97,154.000000,-21.212482,-275.344344
98,158.000000,-23.127162,-283.791751
99,162.000000,-23.511278,-285.646024
100,165.000000,-25.304243,-304.500131
101,169.000000,-24.353798,-298.489254
102,173.000000,-25.992812,-305.075962
103,177.000000,-26.029204,-307.369377
104,181.000000,-27.699128,-309.250960
105,186.000000,-28.563627,-310.689244
106,190.000000,-29.483076,-315.504696
107,194.000000,-29.615532,-312.254625
108,199.000000,-30.517587,-316.010750
109,204.000000,-30.737624,-320.909273
110,208.000000,-31.075301,-326.447832
111,213.000000,-31.916836,-330.016692
112,218.000000,-33.240754,-330.033428
113,223.000000,-33.782336,-332.805608
114,229.000000,-34.777513,-338.778444
115,234.000000,-34.760146,-346.887417
116,239.000000,-35.584756,-345.434654
117,245.000000,-36.224817,-347.650342
118,251.000000,-38.899272,-350.201026
119,257.000000,-40.733451,-360.015890
120,263.000000,-41.226617,-358.469466
121,269.000000,-40.660090,-357.170735
122,275.000000,-41.518045,-369.049464
123,281.000000,-42.484101,-367.197260
124,288.000000,-41.923635,-378.755288
125,295.000000,-44.379059,-380.638434
126,301.000000,-43.348358,-380.729072
127,309.000000,-46.709520,-392.815789
128,316.000000,-46.682495,-376.074002
129,323.000000,-54.434682,-377.412386
130,331.000000,-56.909159,-392.102861
131,338.000000,-46.449493,-384.036611
132,346.000000,-60.468299,-343.672264
133,354.000000,-56.328523,-447.675055
134,363.000000,-54.488530,-334.510727
135,371.000000,-61.066483,-464.568923
136,380.000000,-76.791554,-382.445607
137,389.000000,-53.485444,-357.064173
138,398.000000,-56.719576,-510.518979
139,407.000000,-55.893853,-665.031867
140,416.000000,-49.844452,-645.700194
141,426.000000,-49.095272,-701.030536
142,436.000000,-45.086542,-717.320028
143,446.000000,-52.574612,-728.998951
144,457.000000,-52.924892,-742.537723
145,467.000000,-57.221757,-762.625326
146,478.000000,-61.448767,-770.604409
147,489.000000,-58.166590,-716.344738
148,500.000000,-54.060092,-720.000000
