"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-0.986511,-15.390157
1,2.000000,-2.017695,-14.447964
2,3.000000,-2.391703,-11.443974
3,4.000000,-2.572042,-9.087039
4,5.000000,-2.692158,-7.654995
5,6.000000,-2.719597,-6.234999
6,7.000000,-2.734043,-4.960271
7,8.000000,-2.704943,-3.922723
8,9.000000,-2.638497,-2.910865
9,10.000000,-2.570709,-2.199004
10,11.000000,-2.555262,-2.170406
11,12.000000,-2.637920,-2.159582
12,13.000000,-2.479636,-2.055862
13,14.000000,-2.639114,-0.696154
14,15.000000,-2.132505,-0.064200
15,16.000000,-2.141669,0.089264
16,17.000000,-2.146973,0.088658
17,18.000000,-2.108737,0.235609
18,19.000000,-2.138955,-0.025134
19,20.000000,-1.642690,0.112048
20,21.000000,-1.649973,0.049598
21,22.000000,-1.645765,0.119756
22,23.000000,-1.658722,0.126575
23,24.000000,-1.687964,0.319112
24,25.000000,-1.195849,-0.956281
25,26.000000,-1.192316,-0.947434
26,27.000000,-1.203480,-0.696864
27,28.000000,-1.236212,-0.958172
28,29.000000,-1.188917,-0.891633
29,30.000000,-0.813291,-2.692399
30,31.000000,-0.793686,-2.370692
31,32.000000,-0.786810,-2.665844
32,33.000000,-0.826961,-2.535382
33,34.000000,-0.842145,-2.741041
34,35.000000,-0.409746,-4.818411
35,36.000000,-0.403704,-4.326176
36,37.000000,-0.333379,-4.417819
37,38.000000,-0.350444,-4.698718
38,39.000000,-0.389074,-4.601699
39,40.000000,-0.068900,-7.302177
40,41.000000,-0.074569,-6.687366
41,42.000000,0.049702,-6.932315
42,43.000000,0.004827,-6.846824
43,44.000000,0.032804,-6.816440
44,45.000000,0.480712,-8.830292
45,46.000000,0.302726,-8.781121
46,47.000000,0.401395,-9.655902
47,48.000000,0.338795,-9.459413
48,49.000000,0.377606,-9.677101
49,50.000000,0.522513,-11.871533
50,51.000000,0.628349,-10.859560
51,52.000000,0.838531,-11.165478
52,53.000000,0.514492,-11.826868
53,54.000000,0.830282,-11.717034
54,55.000000,0.929793,-14.088504
55,56.000000,0.902597,-14.390005
56,57.000000,0.877234,-14.185921
57,58.000000,0.844323,-14.198399
58,59.000000,1.248352,-14.564881
59,60.000000,1.280736,-15.982434
60,61.000000,1.434004,-16.255966
61,63.000000,1.348834,-17.500127
62,64.000000,1.336705,-16.808743
63,65.000000,1.576496,-20.521596
64,66.000000,1.726911,-18.153291
65,68.000000,1.443873,-19.205504
66,69.000000,1.729281,-17.702111
67,70.000000,1.977960,-23.879168
68,72.000000,2.104262,-21.368814
69,73.000000,1.967373,-21.703242
70,74.000000,2.042668,-22.869324
71,76.000000,2.441502,-24.975023
72,77.000000,2.536262,-24.989817
73,79.000000,2.425999,-24.011802
74,80.000000,2.885403,-31.117630
75,82.000000,2.453099,-27.986849
76,84.000000,2.885715,-31.299480
77,85.000000,2.988486,-31.670247
78,87.000000,3.295016,-32.827130
79,89.000000,3.198934,-31.607115
80,90.000000,3.692399,-33.562941
81,92.000000,3.841610,-37.351352
82,94.000000,3.855193,-34.521384
83,96.000000,4.358632,-38.546504
84,98.000000,4.287484,-40.823047
85,99.000000,4.008495,-36.990431
86,101.000000,4.522177,-46.972257
87,103.000000,4.086231,-43.235894
88,105.000000,5.645941,-46.785553
89,107.000000,5.519831,-46.422956
90,110.000000,5.729272,-53.400814
91,112.000000,5.731198,-54.283415
92,114.000000,6.031511,-51.791125
93,116.000000,6.919136,-57.972427
94,118.000000,6.948167,-57.904979
95,121.000000,6.384167,-65.486619
