"Frequency Response"
"MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
0,1.000000,0.048111,0.224940,1.000000,43.387696,-215.216113
1,2.000000,0.088708,0.170482,2.000000,39.507535,-196.158109
2,3.000000,0.210134,-0.256759,3.000000,32.284698,-169.633676
3,4.000000,0.380256,-0.719268,4.000000,27.021073,-164.356660
4,5.000000,0.522736,-3.441192,5.000000,21.670514,-136.761483
5,6.000000,0.276324,-9.433414,6.000000,15.657493,-105.627773
6,7.000000,0.277705,-11.960368,7.000000,13.661119,-104.656082
7,8.000000,0.376502,-13.622032,8.000000,12.543636,-107.094424
8,9.000000,0.511674,-15.113568,9.000000,11.643516,-110.071436
9,10.000000,0.662208,-16.533796,10.000000,10.861122,-112.961027
10,15.000000,1.331482,-26.458033,15.000000,6.991758,-121.254070
11,20.000000,1.293096,-41.318760,20.000000,3.485611,-121.806700
12,25.000000,0.267256,-54.607937,25.000000,0.877360,-119.010848
13,30.000000,-0.699525,-65.759805,30.000000,-1.088280,-119.317324
14,35.000000,-2.394636,-75.172534,35.000000,-3.141547,-117.495541
15,40.000000,-3.949489,-78.125780,40.000000,-4.524604,-113.665494
16,45.000000,-4.845716,-79.559497,45.000000,-5.338681,-111.692208
17,50.000000,-5.663388,-82.646649,50.000000,-6.225080,-111.616554
18,55.000000,-7.341735,-90.709017,55.000000,-8.115618,-113.838663
19,60.000000,-8.335765,-90.281137,60.000000,-8.944466,-111.202412
20,65.000000,-9.320233,-84.823634,65.000000,-9.553735,-104.186026
21,70.000000,-9.757795,-79.797577,70.000000,-9.716529,-98.554407
22,75.000000,-8.535798,-79.238987,75.000000,-8.537206,-100.809743
23,80.000000,-9.513255,-99.002123,80.000000,-10.364465,-116.429586
24,85.000000,-11.176958,-85.436657,85.000000,-11.315097,-101.156611
25,90.000000,-10.669101,-84.760949,90.000000,-10.806962,-101.437483
26,95.000000,-9.181841,-87.316631,95.000000,-9.548913,-106.750534
27,100.000000,-9.159469,-104.851058,100.000000,-10.298660,-122.028553
28,105.000000,-11.504676,-105.946882,105.000000,-12.357027,-119.349702
29,110.000000,-11.279637,-108.023800,110.000000,-12.225613,-121.482114
30,115.000000,-11.347241,-110.142377,115.000000,-12.350349,-123.233656
31,120.000000,-12.513534,-111.874096,120.000000,-13.421346,-123.289269
32,125.000000,-12.839758,-112.874213,125.000000,-13.736285,-123.797974
33,130.000000,-13.551024,-119.073503,130.000000,-14.514372,-128.533455
34,135.000000,-13.499429,-117.533520,135.000000,-14.433949,-127.222850
35,140.000000,-13.570586,-118.301763,140.000000,-14.514367,-127.832355
36,145.000000,-14.944931,-126.876744,145.000000,-15.902939,-134.242608
37,150.000000,-14.255015,-124.936095,150.000000,-15.256827,-133.072739
38,155.000000,-14.354730,-125.356650,155.000000,-15.352796,-133.361545
39,160.000000,-15.205091,-131.154844,160.000000,-16.204514,-137.848170
40,165.000000,-15.195354,-132.620501,165.000000,-16.218677,-139.150627
41,170.000000,-16.767874,-141.807310,170.000000,-17.733827,-146.410974
42,175.000000,-15.836339,-134.757551,175.000000,-16.817638,-140.636749
43,180.000000,-17.398574,-147.849877,180.000000,-18.356062,-151.536636
44,185.000000,-17.162034,-139.415725,185.000000,-18.060403,-144.080962
45,190.000000,-17.680673,-144.279506,190.000000,-18.576655,-148.223357
46,195.000000,-17.460173,-134.396388,195.000000,-18.271468,-139.398039
47,200.000000,-18.246419,-140.410294,200.000000,-19.051168,-144.486581
48,205.000000,-17.228833,-135.655222,205.000000,-18.077132,-140.658786
49,210.000000,-18.062366,-147.882431,210.000000,-18.952046,-151.321285
50,215.000000,-17.941800,-148.426238,215.000000,-18.847969,-151.853754
51,220.000000,-19.673129,-166.618137,220.000000,-20.511068,-167.868518
52,225.000000,-20.167331,-160.513711,225.000000,-20.939443,-162.229315
53,230.000000,-18.706985,-137.412892,230.000000,-19.441799,-141.551108
54,235.000000,-20.970185,-155.167009,235.000000,-21.653241,-157.156633
55,240.000000,-20.950067,-153.240465,240.000000,-21.624916,-155.380538
56,245.000000,-21.232233,-150.289517,245.000000,-21.870304,-152.579698
57,250.000000,-21.252608,-148.745079,250.000000,-21.880334,-151.139892
58,255.000000,-20.988502,-149.824839,255.000000,-21.641551,-152.209529
59,260.000000,-20.602430,-153.288014,260.000000,-21.304246,-155.504954
60,265.000000,-20.175293,-162.627963,265.000000,-20.955030,-164.160731
61,270.000000,-18.999416,-147.166608,270.000000,-19.795421,-150.348847
62,275.000000,-20.504556,-185.488012,275.000000,-21.284595,-185.015377
63,280.000000,-20.858006,-161.598684,280.000000,-21.577308,-163.107172
64,285.000000,-20.918788,-174.573673,285.000000,-21.664069,-175.021033
65,290.000000,-21.216626,-152.240540,290.000000,-21.866471,-154.393639
66,295.000000,-21.717034,-199.900979,295.000000,-22.365579,-198.415466
67,300.000000,-23.336762,-167.735289,300.000000,-23.897169,-168.512413
