"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.266429,-11.168748
1,2.000000,-0.212758,-12.590605
2,3.000000,-0.535326,-12.361914
3,4.000000,-0.709068,-11.964000
4,5.000000,-0.793468,-11.629158
5,6.000000,-0.823213,-11.405413
6,7.000000,-0.822572,-11.321330
7,8.000000,-0.803967,-11.303769
8,9.000000,-0.775198,-11.427132
9,10.000000,-0.745547,-11.608830
10,15.000000,-0.564346,-13.647584
11,20.000000,-0.399787,-17.018569
12,25.000000,-0.362295,-21.311791
13,30.000000,-0.421384,-26.053643
14,35.000000,-0.622920,-30.478300
15,40.000000,-0.939740,-36.156263
16,45.000000,-1.688439,-41.556869
17,50.000000,-2.981771,-41.169763
18,55.000000,-2.504083,-35.900242
19,60.000000,-1.959873,-42.313881
20,65.000000,-3.179137,-50.757227
21,70.000000,-3.547012,-47.601889
22,75.000000,-3.311310,-49.136674
23,80.000000,-4.160565,-52.628696
24,85.000000,-3.548118,-51.652044
25,90.000000,-4.180842,-61.282883
26,95.000000,-5.193174,-62.566723
27,100.000000,-5.959946,-63.618082
28,105.000000,-7.209514,-64.944186
29,110.000000,-8.668186,-56.329006
30,115.000000,-8.349718,-39.368172
31,120.000000,-5.461450,-31.831528
32,125.000000,-3.487817,-45.346492
33,130.000000,-4.323800,-59.169969
34,135.000000,-4.526835,-62.840525
35,140.000000,-5.439399,-69.055549
36,145.000000,-5.880830,-68.773418
37,150.000000,-6.263684,-71.787956
38,155.000000,-6.304914,-74.250042
39,160.000000,-7.061220,-75.396383
40,165.000000,-7.350623,-76.604215
41,170.000000,-7.864466,-77.539735
42,175.000000,-7.799598,-78.710856
43,180.000000,-8.517874,-80.458708
44,185.000000,-8.607814,-81.669646
45,190.000000,-9.080382,-82.012302
46,195.000000,-9.096143,-82.929900
47,200.000000,-9.648978,-84.232606
48,205.000000,-9.952399,-85.257936
49,210.000000,-10.540136,-85.502529
50,215.000000,-10.819109,-86.418465
51,220.000000,-11.467480,-85.955331
52,225.000000,-11.773984,-86.737773
53,230.000000,-11.784304,-86.337929
54,235.000000,-12.632914,-86.378602
55,240.000000,-13.236703,-85.975592
56,245.000000,-13.747789,-84.765999
57,250.000000,-14.294345,-82.499725
58,255.000000,-14.977070,-79.187034
59,260.000000,-15.529046,-73.220860
60,265.000000,-15.765961,-65.840467
61,270.000000,-15.446702,-60.193028
62,275.000000,-15.484951,-53.371305
63,280.000000,-14.817687,-49.020947
64,285.000000,-13.980318,-42.411083
65,290.000000,-12.549542,-41.303388
66,295.000000,-12.271210,-40.867912
67,300.000000,-11.591625,-38.273447
68,305.000000,-10.022217,-35.763266
69,310.000000,-8.624189,-39.215886
70,315.000000,-7.878436,-48.084886
71,320.000000,-7.177286,-50.550347
72,325.000000,-6.555552,-58.265748
73,330.000000,-6.817850,-64.786436
74,335.000000,-6.510587,-69.628391
75,340.000000,-7.050402,-73.324365
76,345.000000,-6.668549,-76.723880
77,350.000000,-6.976725,-81.789970
78,355.000000,-7.000107,-87.175756
79,360.000000,-7.543792,-90.711815
80,365.000000,-8.880149,-90.568804
81,370.000000,-7.782654,-90.347307
82,375.000000,-8.557792,-96.153379
83,380.000000,-9.149055,-96.208519
84,385.000000,-8.539440,-96.281401
85,390.000000,-9.752156,-99.690876
86,395.000000,-9.113603,-98.286270
87,400.000000,-9.806978,-101.226622
88,405.000000,-9.994397,-103.730929
89,410.000000,-9.748411,-100.481127
90,415.000000,-10.124186,-104.230087
91,420.000000,-10.581119,-105.661465
92,425.000000,-10.575868,-106.135741
93,430.000000,-10.518201,-105.885793
94,435.000000,-10.396504,-105.453360
95,440.000000,-11.175108,-107.761508
96,445.000000,-11.015789,-108.408536
97,450.000000,-10.941926,-110.176068
98,455.000000,-11.477534,-110.950281
99,460.000000,-11.095686,-111.877097
100,465.000000,-11.608078,-112.216116
101,470.000000,-11.080645,-114.163381
102,475.000000,-11.858917,-113.375782
103,480.000000,-12.021910,-117.285537
104,485.000000,-11.576297,-119.987974
105,490.000000,-11.829115,-120.697687
106,495.000000,-11.716686,-120.142853
107,500.000000,-11.876689,-119.441146
108,505.000000,-11.804753,-120.101362
109,510.000000,-11.665379,-121.731003
110,515.000000,-12.299496,-128.239799
111,520.000000,-12.579880,-129.908453
112,525.000000,-12.796866,-127.338096
113,530.000000,-12.408554,-128.200340
114,535.000000,-12.921140,-135.026685
115,540.000000,-13.489228,-132.815793
116,545.000000,-12.796834,-134.877718
117,550.000000,-13.319432,-133.600897
118,555.000000,-12.919735,-136.492133
119,560.000000,-13.673536,-137.857721
120,565.000000,-13.668384,-141.914347
121,570.000000,-13.534376,-140.950746
122,575.000000,-13.713043,-141.763720
123,580.000000,-13.990757,-141.980241
124,585.000000,-14.075549,-146.894546
125,590.000000,-14.241106,-144.375709
126,595.000000,-14.269598,-148.027388
127,600.000000,-14.462921,-148.185144
128,605.000000,-14.671925,-149.558549
129,610.000000,-14.788943,-153.372456
130,615.000000,-14.889676,-150.683156
131,620.000000,-14.884032,-155.064337
132,625.000000,-15.334518,-152.330967
133,630.000000,-15.584747,-156.332236
134,635.000000,-15.797300,-158.759841
135,640.000000,-15.795625,-157.140930
136,645.000000,-16.066022,-158.364575
137,650.000000,-16.196016,-161.132921
138,655.000000,-16.264560,-158.901035
139,660.000000,-16.583014,-163.881780
140,665.000000,-16.684832,-163.573394
141,670.000000,-16.857168,-164.337127
142,675.000000,-17.023641,-164.908248
143,680.000000,-17.502793,-167.063819
144,685.000000,-17.506420,-165.289853
145,690.000000,-17.820201,-166.900943
146,695.000000,-18.154941,-167.779499
147,700.000000,-18.282585,-165.603951
148,705.000000,-18.589111,-166.637138
149,710.000000,-18.969577,-166.395092
150,715.000000,-19.530531,-165.266129
151,720.000000,-19.219119,-161.323136
