"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,-10.580113,-17.287630
1,2.000000,-10.850412,-12.483438
2,3.000000,-10.922411,-10.260143
3,4.000000,-10.971202,-8.236948
4,5.000000,-10.987565,-6.395410
5,6.000000,-10.967765,-4.410065
6,7.000000,-10.918505,-2.484026
7,8.000000,-10.818118,-0.788015
8,9.000000,-10.720979,0.852827
9,10.000000,-10.633105,2.170715
10,15.000000,-9.794306,7.688417
11,20.000000,-8.922446,11.188930
12,25.000000,-7.920165,12.115326
13,30.000000,-7.072722,12.232256
14,35.000000,-6.138119,10.763304
15,40.000000,-5.387131,7.723933
16,45.000000,-4.788347,4.038406
17,50.000000,-4.250175,-0.440253
18,55.000000,-4.033092,-1.880440
19,60.000000,-3.459878,-4.593373
20,65.000000,-3.063600,-10.912474
21,70.000000,-3.054003,-15.227595
22,75.000000,-3.000008,-18.712135
23,80.000000,-2.763709,-23.626951
24,85.000000,-2.934140,-27.095627
25,90.000000,-2.799974,-32.260355
26,95.000000,-2.957649,-37.792828
27,100.000000,-3.456445,-41.176464
28,105.000000,-3.947234,-44.056812
29,110.000000,-4.471852,-46.462568
30,115.000000,-5.053847,-46.557445
31,120.000000,-5.443329,-46.058375
32,125.000000,-5.117521,-42.339438
33,130.000000,-4.597088,-43.227827
34,135.000000,-4.124910,-46.099815
35,140.000000,-3.835717,-52.051860
36,145.000000,-4.198755,-59.636017
37,150.000000,-4.691698,-62.142755
38,155.000000,-4.838358,-64.325435
39,160.000000,-5.160288,-66.918502
40,165.000000,-5.720477,-68.071319
41,170.000000,-5.417079,-70.013311
42,175.000000,-5.638250,-73.058839
43,180.000000,-6.406778,-74.001170
44,185.000000,-6.174450,-75.143443
45,190.000000,-6.595898,-77.878740
46,195.000000,-6.558678,-79.138116
47,200.000000,-7.055922,-80.281681
48,205.000000,-7.460397,-82.571215
49,210.000000,-7.530047,-82.601277
50,215.000000,-7.764623,-85.043740
51,220.000000,-7.854866,-85.749549
52,225.000000,-8.433152,-86.752492
53,230.000000,-8.575202,-88.701744
54,235.000000,-8.647459,-89.684393
55,240.000000,-8.927611,-90.151566
56,245.000000,-9.195074,-90.855567
57,250.000000,-9.410938,-91.581573
58,255.000000,-9.586061,-92.013084
59,260.000000,-9.519211,-91.464445
60,265.000000,-10.228698,-92.303449
61,270.000000,-10.335500,-91.027720
62,275.000000,-9.749566,-91.635444
63,280.000000,-9.956322,-94.200694
64,285.000000,-10.704517,-96.740227
65,290.000000,-10.965471,-93.878074
66,295.000000,-10.210532,-96.372655
67,300.000000,-10.855454,-99.221558
68,305.000000,-11.418962,-100.504260
69,310.000000,-11.551052,-97.871973
70,315.000000,-11.465775,-97.206204
71,320.000000,-11.547608,-96.509197
72,325.000000,-11.737238,-97.618260
73,330.000000,-12.118150,-94.008078
74,335.000000,-11.651913,-93.437065
75,340.000000,-11.756600,-95.315353
76,345.000000,-11.666241,-97.120567
77,350.000000,-12.342566,-96.879451
78,355.000000,-11.808667,-92.067401
79,360.000000,-12.042743,-96.879715
80,365.000000,-11.975227,-92.888398
81,370.000000,-11.239570,-89.467593
82,375.000000,-11.419550,-92.506754
83,380.000000,-11.996099,-95.220688
84,385.000000,-11.264981,-95.242703
85,390.000000,-11.112843,-95.618493
86,395.000000,-10.502541,-97.835150
87,400.000000,-11.060373,-98.774821
88,405.000000,-11.514723,-102.017662
89,410.000000,-11.259211,-104.150141
90,415.000000,-11.060253,-104.486541
91,420.000000,-10.945702,-103.796519
92,425.000000,-11.489251,-106.637466
93,430.000000,-11.347389,-109.366442
94,435.000000,-10.950759,-107.454467
95,440.000000,-11.929840,-109.859307
96,445.000000,-11.414950,-114.198041
97,450.000000,-11.498347,-113.926178
98,455.000000,-12.039738,-114.853978
99,460.000000,-11.618292,-116.309698
100,465.000000,-11.703108,-114.768391
101,470.000000,-11.936298,-121.589557
102,475.000000,-11.423786,-112.009134
103,480.000000,-12.714414,-119.563343
104,485.000000,-12.763402,-127.714734
105,490.000000,-11.646892,-122.246056
106,495.000000,-12.083765,-122.409626
107,500.000000,-12.103562,-120.348381
108,505.000000,-12.009683,-118.710034
109,510.000000,-12.410211,-125.123521
110,515.000000,-12.136435,-123.738531
111,520.000000,-13.219881,-128.525121
112,525.000000,-13.169257,-124.340589
113,530.000000,-13.003524,-129.841617
114,535.000000,-12.655357,-129.003649
115,540.000000,-13.179136,-130.206286
116,545.000000,-13.067424,-131.114271
117,550.000000,-12.956513,-128.740371
118,555.000000,-13.178274,-138.425698
