TCMD,FRTCM,FREQ
0.068662455,0,1
0,0,1
-0.054929964,0,1
0.041197473,0,1
-0.027464982,-0.082394946,1
-0.027464982,-0.082394946,1
0,-0.082394946,1
-0.027464982,-0.082394946,1
0,-0.164789893,1
-0.041197473,-0.164789893,1
-0.068662455,-0.164789893,1
-0.054929964,-0.247184839,1
-0.054929964,-0.247184839,1
-0.068662455,-0.247184839,1
-0.068662455,-0.247184839,1
-0.082394946,-0.329579786,1
-0.096127438,-0.329579786,1
-0.054929964,-0.329579786,1
-0.109859929,-0.329579786,1
-0.082394946,-0.411974732,1
-0.082394946,-0.411974732,1
-0.109859929,-0.411974732,1
-0.109859929,-0.411974732,1
-0.096127438,-0.494369679,1
-0.12359242,-0.494369679,1
-0.137324911,-0.494369679,1
-0.151057402,-0.494369679,1
-0.12359242,-0.576764625,1
-0.109859929,-0.576764625,1
-0.151057402,-0.576764625,1
-0.12359242,-0.576764625,1
-0.151057402,-0.672892063,1
-0.137324911,-0.672892063,1
-0.164789893,-0.672892063,1
-0.151057402,-0.672892063,1
-0.164789893,-0.755287009,1
-0.192254875,-0.755287009,1
-0.178522384,-0.755287009,1
-0.192254875,-0.755287009,1
-0.247184839,-0.837681956,1
-0.247184839,-0.837681956,1
-0.274649821,-0.837681956,1
-0.247184839,-0.837681956,1
-0.205987366,-0.920076902,1
-0.247184839,-0.920076902,1
-0.26091733,-0.920076902,1
-0.26091733,-0.920076902,1
-0.302114804,-1.002471848,1
-0.247184839,-1.002471848,1
-0.274649821,-1.002471848,1
-0.288382313,-1.002471848,1
-0.274649821,-1.084866795,1
-0.302114804,-1.084866795,1
-0.329579786,-1.084866795,1
-0.288382313,-1.167261741,1
-0.343312277,-1.167261741,1
-0.329579786,-1.167261741,1
-0.329579786,-1.167261741,1
-0.357044768,-1.249656688,1
-0.329579786,-1.249656688,1
-0.38450975,-1.249656688,1
-0.343312277,-1.249656688,1
-0.398242241,-1.345784125,1
-0.425707223,-1.345784125,1
-0.398242241,-1.345784125,1
-0.439439714,-1.345784125,1
-0.439439714,-1.428179072,1
-0.425707223,-1.428179072,1
-0.411974732,-1.428179072,1
-0.425707223,-1.428179072,1
-0.425707223,-1.510574018,1
-0.466904697,-1.510574018,1
-0.466904697,-1.510574018,1
-0.453172205,-1.510574018,1
-0.480637188,-1.592968965,1
-0.453172205,-1.592968965,1
-0.535567152,-1.592968965,1
-0.480637188,-1.592968965,1
-0.50810217,-1.675363911,1
-0.521834661,-1.675363911,1
-0.494369679,-1.675363911,1
-0.563032134,-1.675363911,1
-0.535567152,-1.757758857,1
-0.563032134,-1.757758857,1
-0.64542708,-1.757758857,1
-0.563032134,-1.757758857,1
-0.563032134,-1.840153804,1
-0.617962098,-1.840153804,1
-0.590497116,-1.840153804,1
-0.604229607,-1.840153804,1
-0.549299643,-1.92254875,1
-0.631694589,-1.92254875,1
-0.672892063,-1.92254875,1
-0.617962098,-1.92254875,1
-0.617962098,-2.004943697,1
-0.631694589,-2.004943697,1
-0.64542708,-2.004943697,1
-0.672892063,-2.087338643,1
-0.604229607,-2.087338643,1
-0.700357045,-2.087338643,1
-0.700357045,-2.087338643,1
-0.659159572,-2.16973359,1
-0.700357045,-2.16973359,1
-0.714089536,-2.16973359,1
-0.714089536,-2.16973359,1
-0.727822027,-2.252128536,1
-0.727822027,-2.252128536,1
-0.810216973,-2.252128536,1
-0.755287009,-2.252128536,1
-0.755287009,-2.334523483,1
-0.796484482,-2.334523483,1
-0.782751991,-2.334523483,1
-0.865146938,-2.334523483,1
-0.810216973,-2.416918429,1
-0.782751991,-2.416918429,1
-0.878879429,-2.416918429,1
-0.878879429,-2.416918429,1
-0.878879429,-2.513045867,1
-0.975006866,-2.513045867,1
-0.920076902,-2.513045867,1
-0.933809393,-2.513045867,1
-0.933809393,-2.595440813,1
-0.933809393,-2.595440813,1
-1.098599286,-2.595440813,1
-0.975006866,-2.595440813,1
-0.961274375,-2.677835759,1
-1.002471848,-2.677835759,1
-0.988739357,-2.677835759,1
-1.016204339,-2.677835759,1
-1.043669322,-2.760230706,1
-1.002471848,-2.760230706,1
-1.098599286,-2.760230706,1
-1.071134304,-2.760230706,1
-1.029936831,-2.842625652,1
-1.057401813,-2.842625652,1
-1.084866795,-2.842625652,1
-1.098599286,-2.925020599,1
-1.126064268,-2.925020599,1
-1.098599286,-2.925020599,1
-1.167261741,-2.925020599,1
-1.15352925,-3.007415545,1
-1.139796759,-3.007415545,1
-1.167261741,-3.007415545,1
-1.167261741,-3.007415545,1
-1.167261741,-3.089810492,1
-1.208459215,-3.089810492,1
-1.180994232,-3.089810492,1
-1.290854161,-3.089810492,1
-1.235924197,-3.172205438,1
-1.208459215,-3.172205438,1
-1.27712167,-3.172205438,1
-1.290854161,-3.172205438,1
-1.318319143,-3.240867893,1
-1.318319143,-3.240867893,1
-1.263389179,-3.240867893,1
-1.304586652,-3.240867893,1
-1.318319143,-3.32326284,1
-1.318319143,-3.32326284,1
-1.318319143,-3.32326284,1
-1.373249107,-3.32326284,1
-1.373249107,-3.405657786,1
-1.386981598,-3.405657786,1
-1.373249107,-3.405657786,1
-1.441911563,-3.405657786,1
-1.428179072,-3.488052733,1
-1.441911563,-3.488052733,1
-1.469376545,-3.488052733,1
-1.469376545,-3.488052733,1
-1.455644054,-3.570447679,1
-1.483109036,-3.570447679,1
-1.483109036,-3.570447679,1
-1.538039,-3.570447679,1
-1.524306509,-3.652842626,1
-1.538039,-3.652842626,1
-1.538039,-3.652842626,1
-1.579236473,-3.652842626,1
-1.579236473,-3.735237572,1
-1.565503982,-3.735237572,1
-1.579236473,-3.735237572,1
-1.634166438,-3.817632519,1
-1.606701456,-3.817632519,1
-1.647898929,-3.817632519,1
-1.634166438,-3.817632519,1
-1.744026366,-3.900027465,1
-1.757758857,-3.900027465,1
-1.689096402,-3.900027465,1
-1.716561384,-3.900027465,1
-1.771491349,-3.982422411,1
-1.798956331,-3.982422411,1
-1.826421313,-3.982422411,1
-1.853886295,-3.982422411,1
-1.908816259,-4.064817358,1
-1.840153804,-4.064817358,1
-1.895083768,-4.064817358,1
-1.867618786,-4.064817358,1
-1.92254875,-4.133479813,1
-1.936281241,-4.133479813,1
-1.908816259,-4.133479813,1
-1.908816259,-4.133479813,1
-1.977478715,-4.21587476,1
-1.991211206,-4.21587476,1
-2.004943697,-4.21587476,1
-2.004943697,-4.21587476,1
-2.018676188,-4.298269706,1
-2.101071134,-4.298269706,1
-2.032408679,-4.298269706,1
-2.073606152,-4.298269706,1
-2.128536116,-4.380664653,1
-2.073606152,-4.380664653,1
-2.101071134,-4.380664653,1
-2.114803625,-4.380664653,1
-2.087338643,-4.463059599,1
-2.16973359,-4.463059599,1
-2.101071134,-4.463059599,1
-2.101071134,-4.463059599,1
-2.210931063,-4.545454545,1
-2.197198572,-4.545454545,1
-2.224663554,-4.545454545,1
-2.224663554,-4.545454545,1
-2.224663554,-4.614117001,1
-2.3070585,-4.614117001,1
-2.238396045,-4.614117001,1
-2.252128536,-4.696511947,1
-2.334523483,-4.696511947,1
-2.334523483,-4.696511947,1
-2.3070585,-4.696511947,1
-2.3070585,-4.778906894,1
-2.416918429,-4.778906894,1
-2.389453447,-4.778906894,1
-2.361988465,-4.778906894,1
-2.444383411,-4.86130184,1
-2.444383411,-4.86130184,1
-2.458115902,-4.86130184,1
-2.471848393,-4.86130184,1
-2.485580884,-4.929964296,1
-2.499313375,-4.929964296,1
-2.540510849,-4.929964296,1
-2.540510849,-4.929964296,1
-2.526778358,-5.012359242,1
-2.55424334,-5.012359242,1
-2.581708322,-5.012359242,1
-2.609173304,-5.012359242,1
-2.55424334,-5.094754188,1
-2.636638286,-5.094754188,1
-2.732765724,-5.094754188,1
-2.705300742,-5.094754188,1
-2.705300742,-5.163416644,1
-2.746498215,-5.163416644,1
-2.732765724,-5.163416644,1
-2.787695688,-5.163416644,1
-2.773963197,-5.24581159,1
-2.787695688,-5.24581159,1
-2.787695688,-5.24581159,1
-2.81516067,-5.24581159,1
-2.81516067,-5.328206537,1
-2.883823126,-5.328206537,1
-2.842625652,-5.328206537,1
-2.870090634,-5.328206537,1
-2.842625652,-5.396868992,1
-2.883823126,-5.396868992,1
-2.93875309,-5.396868992,1
-2.870090634,-5.479263938,1
-2.883823126,-5.479263938,1
