SamplingRate:0.25ms,,
,,
X-TCMD,X-FRTCM,X-FREQ
%,%,Hz
-0.1510574,0,1
-0.1510574,0,1
-0.1510574,0,1
-0.1510574,0,1
-0.1373249,0,1
-0.1373249,0,1
-0.1373249,0,1
-0.2334523,0,1
-0.1647899,0,1
-0.1647899,0,1
-0.1647899,0,1
-0.1373249,-0.01373249,1
-0.1373249,-0.01373249,1
-0.1373249,-0.01373249,1
-0.1373249,-0.01373249,1
-0.1510574,-0.02746498,1
-0.1510574,-0.02746498,1
-0.1373249,-0.02746498,1
-0.1373249,-0.02746498,1
-0.1510574,-0.04119748,1
-0.1510574,-0.04119748,1
-0.1510574,-0.04119748,1
-0.1510574,-0.04119748,1
-0.1373249,-0.05492996,1
-0.1373249,-0.05492996,1
-0.1373249,-0.05492996,1
-0.1373249,-0.05492996,1
-0.1373249,-0.08239495,1
-0.1373249,-0.08239495,1
-0.1373249,-0.08239495,1
-0.1373249,-0.08239495,1
-0.1373249,-0.09612744,1
-0.1373249,-0.09612744,1
-0.1373249,-0.09612744,1
-0.1373249,-0.09612744,1
-0.1235924,-0.1098599,1
-0.1235924,-0.1098599,1
-0.1235924,-0.1098599,1
-0.1235924,-0.1098599,1
-0.2059874,-0.1235924,1
-0.1373249,-0.1235924,1
-0.1373249,-0.1235924,1
-0.1235924,-0.1235924,1
-0.1373249,-0.1510574,1
-0.1235924,-0.1510574,1
-0.1922549,-0.1510574,1
-0.1098599,-0.1510574,1
-0.1098599,-0.1647899,1
-0.2746498,-0.1647899,1
-0.1922549,-0.1647899,1
-0.1922549,-0.1785224,1
-0.2746498,-0.1785224,1
-0.1235924,-0.1785224,1
-0.1785224,-0.1785224,1
-0.2609173,-0.1922549,1
-0.1922549,-0.1922549,1
-0.1922549,-0.1922549,1
-0.2746498,-0.1922549,1
-0.1785224,-0.2059874,1
-0.1922549,-0.2059874,1
-0.2883823,-0.2059874,1
-0.1373249,-0.2059874,1
-0.2059874,-0.2334523,1
-0.2334523,-0.2334523,1
-0.1647899,-0.2334523,1
-0.3158473,-0.2334523,1
-0.2334523,-0.2471848,1
-0.06866246,-0.2471848,1
-0.2197199,-0.2471848,1
-0.1647899,-0.2471848,1
-0.1510574,-0.2609173,1
-0.2609173,-0.2609173,1
-0.1922549,-0.2609173,1
-0.1647899,-0.2609173,1
-0.2609173,-0.2746498,1
-0.1785224,-0.2746498,1
-0.1647899,-0.2746498,1
-0.3158473,-0.2746498,1
-0.1647899,-0.3021148,1
-0.1785224,-0.3021148,1
-0.2609173,-0.3021148,1
-0.1922549,-0.3021148,1
-0.1785224,-0.3158473,1
-0.1785224,-0.3158473,1
-0.09612744,-0.3158473,1
-0.2471848,-0.3158473,1
-0.2609173,-0.3295798,1
-0.08239495,-0.3295798,1
